time,open,high,low,close,Volume
1769385600,86628.8,86776.7,86618,86711.6,1805932
1769385900,86715.3,87052.8,86705.8,86980.3,3299868
1769386200,86980.3,87023,86918.1,87022.8,1156360
1769386500,87022.9,87153.1,86913,86991.4,2268735
1769386800,86991.3,87074.8,86906.7,86977.6,843140
1769387100,86977.7,86977.7,86743.5,86808.7,1547167
1769387400,86809.1,86837.3,86660.1,86662.5,1388739
1769387700,86662.5,86746,86649,86689.5,810945
1769388000,86689.5,86733,86568.1,86589.9,1687711
1769388300,86592.3,86700,86463.2,86700,1831090
1769388600,86702.9,86943.4,86702.9,86754.9,2402204
1769388900,86755,86825.3,86751,86808.5,716517
1769389200,86808.4,87175.4,86772.9,87096.1,2203201
1769389500,87096.3,87336,87095.4,87281.9,2541759
1769389800,87282,87426.5,87194.3,87239.7,2782468
1769390100,87239.6,87430.1,87234.2,87320.3,1398383
1769390400,87320.2,87748.7,87320.2,87570.8,2744872
1769390700,87581,87624.1,87415,87618.8,1156841
1769391000,87618.7,87699,87599.7,87616.9,1514219
1769391300,87617,87699.9,87582.9,87616.9,990412
1769391600,87616.8,87732.2,87550.6,87651.2,1448840
1769391900,87651.1,87730,87484.4,87504.4,1489590
1769392200,87504.5,87789.8,87471.2,87545.7,2064215
1769392500,87545.7,87750,87545.7,87661.8,1078610
1769392800,87661.7,87669.6,87399.6,87461.7,1350564
1769393100,87455.8,87516.6,87420.6,87423.3,948692
1769393400,87423.4,87494.3,87421.3,87473.1,436316
1769393700,87473,87559.7,87462.7,87532.1,847396
1769394000,87532.7,87831.3,87532.7,87768.8,1813468
1769394300,87768.9,87903.9,87767.5,87861.6,2129181
1769394600,87862.2,87922,87771.3,87865.5,1476354
1769394900,87865.1,87867,87705.2,87717.6,776586
1769395200,87715.8,87752.9,87576.7,87576.8,1193303
1769395500,87576.8,87636.8,87559.9,87601.5,654296
1769395800,87601.6,87602.4,87500.4,87530.6,456546
1769396100,87530.5,87572.8,87454.7,87514.7,1026432
1769396400,87514.8,87602.7,87440.4,87602.7,1057549
1769396700,87600.8,87643.6,87557.1,87573.6,955322
1769397000,87572.8,87596.1,87521.9,87521.9,1044302
1769397300,87523.1,87552.7,87466.8,87532.6,757690
1769397600,87532.5,87536,87432.3,87452.1,930160
1769397900,87452.2,87461.1,87391.1,87400.3,1235298
1769398200,87400.4,87429.3,87298,87312.4,1938535
1769398500,87312.1,87312.2,87242.6,87258.9,1371022
1769398800,87259,87313.4,87258.8,87311.8,647660
1769399100,87311.7,87331.4,87199.8,87246.5,1285313
1769399400,87248.5,87284.3,87113.9,87113.9,1317849
1769399700,87113.1,87233.5,87037.8,87233.1,1486060
1769400000,87233,87283.1,87190.4,87191.1,1186194
1769400300,87198.9,87386.4,87198.9,87386.3,1120304
1769400600,87386.4,87490,87386.3,87411.6,1051455
1769400900,87411.7,87541.7,87410.8,87538.4,909116
1769401200,87537.9,87743.2,87535.2,87737.5,1653600
1769401500,87729.8,87820.1,87707.6,87806.9,1166507
1769401800,87809.9,87900,87809.8,87884.9,1706446
1769402100,87884.8,87886.4,87776.3,87838,792692
1769402400,87838.1,87857.9,87713.9,87722.4,1032738
1769402700,87722.5,87755.3,87680.5,87691.5,931197
1769403000,87691.6,87814.9,87691.6,87808.9,937771
1769403300,87803.5,87803.5,87660.4,87700,437441
1769403600,87699.9,87769.6,87699.9,87714.1,667470
1769403900,87714,87722,87617.2,87679.3,839325
1769404200,87676.3,87689.5,87650,87651.5,354923
1769404500,87651.4,87727.8,87649.8,87710.2,531668
1769404800,87710.3,87817.4,87705.1,87777,614488
1769405100,87776.9,87821.3,87776.3,87814.3,694920
1769405400,87814.4,87860,87779.7,87827.2,748029
1769405700,87830.3,87870.3,87707,87727.1,929909
1769406000,87727.2,87831.1,87719.9,87788.8,842122
1769406300,87788.9,87840.5,87720.7,87828,704044
1769406600,87828.1,87909,87814.4,87864.2,796073
1769406900,87864.3,87864.3,87776.2,87776.2,755199
1769407200,87776.3,87801.9,87734.1,87749.9,835426
1769407500,87749.8,87874.1,87749.8,87772.6,733875
1769407800,87772.7,87805.5,87708.8,87708.8,569262
1769408100,87708.9,87864,87708.8,87847.4,564766
1769408400,87847.5,87900,87847.4,87866.1,796562
1769408700,87866.2,87942.1,87846.8,87892,909328
1769409000,87891.9,87940,87840.4,87843.3,854452
1769409300,87843.4,87885,87805,87833.2,514518
1769409600,87833.3,87925.3,87833.2,87924.9,438335
1769409900,87925,87977.9,87816.8,87942.9,1307328
1769410200,87940.1,87998.6,87875.2,87887.1,1075448
1769410500,87887,87920,87867.9,87902.7,1046962
1769410800,87902.6,87911.1,87795.8,87819.7,1688502
1769411100,87819.8,87898.9,87803.5,87882.2,977508
1769411400,87882.3,87974.7,87882.2,87974.7,954313
1769411700,87974.7,88046.6,87895.3,87896.1,1648661
1769412000,87896,87978.9,87894.7,87904.1,899047
1769412300,87904,87915.3,87738,87755.1,1365487
1769412600,87755.2,87761.8,87666.5,87722.8,1652138
1769412900,87722.9,87950,87711.4,87949.9,1649952
1769413200,87948.2,87989.7,87871.1,87887.7,1408928
1769413500,87887.6,87915.4,87826.9,87850,936561
1769413800,87849.9,88015.3,87849.5,87999,1247654
1769414100,87999,88003.4,87930.3,87969,1325105
1769414400,87968.9,88141.1,87963.2,88080.5,2347365
1769414700,88080.2,88139.5,88054.1,88091.2,1250041
1769415000,88091.1,88113.3,87880.4,87880.5,1492050
1769415300,87880.4,87918.5,87800,87897.9,1651871
1769415600,87898,88358,87896.6,88161.9,3516325
1769415900,88161.8,88215.2,88093,88155.7,1306645
1769416200,88155.8,88185.9,88100,88111,1033421
1769416500,88111.1,88132,88068.1,88112.2,803086
1769416800,88112.2,88112.2,87991.9,88014.6,821215
1769417100,88014.7,88057.7,87987.1,88027.9,1076036
1769417400,88025.9,88055.3,87941.6,87945.2,1135522
1769417700,87945.3,87971.5,87933.5,87947.3,745008
1769418000,87947.4,87968.4,87750.7,87795.9,1676032
1769418300,87795.8,87845.9,87776.7,87800,1143859
1769418600,87800.1,87800.1,87711.6,87793.3,1181106
1769418900,87794.1,87819.3,87692.7,87734.7,1066998
1769419200,87734.6,87819.3,87682.5,87707.7,1124326
1769419500,87707.8,87778.4,87686.4,87760.2,877045
1769419800,87760.1,87778.4,87699,87720,909659
1769420100,87720.1,87720.1,87633,87633.3,1295798
1769420400,87633.4,87760,87633.1,87717.6,1039818
1769420700,87728.1,87774.2,87626.8,87647.2,998148
1769421000,87647.2,87647.2,87560,87569.8,1811093
1769421300,87569.9,87638.4,87565.6,87629.9,801160
1769421600,87629.8,87785.7,87620,87785.1,2065720
1769421900,87785.1,87882.6,87782.2,87796.2,1883550
1769422200,87796.3,87844.8,87779.7,87801,1182015
1769422500,87801.1,87850,87751.3,87784.1,1357985
1769422800,87784,87800.1,87771.7,87777.2,833891
1769423100,87777.1,87896.5,87777.1,87868.9,1443186
1769423400,87869,87916,87868.9,87906.9,837012
1769423700,87907,87920.2,87813.4,87839.2,817326
1769424000,87839.1,87856.1,87826.4,87850.8,477820
1769424300,87850.7,87918,87850.7,87880.1,692207
1769424600,87875.3,87905,87865.2,87877.7,362852
1769424900,87880,87891.4,87857.6,87858.1,441582
1769425200,87858,87902.9,87858,87879.1,491728
1769425500,87879.2,87930,87879.1,87910,670688
1769425800,87910.1,87942,87906.5,87934.2,604247
1769426100,87934.1,87941.7,87900,87900,441953
1769426400,87900,87928.7,87864.2,87864.2,593713
1769426700,87864.3,87864.3,87750,87751,1184005
1769427000,87751.1,87783.3,87721.2,87764.5,1153232
1769427300,87764.4,87817.5,87728.9,87817.4,1003652
1769427600,87817.3,87847.3,87804.6,87810.8,696533
1769427900,87810.9,87810.9,87762.4,87774,385528
1769428200,87773.9,87815,87773.9,87800.1,297328
1769428500,87800,87820,87800,87810,339206
1769428800,87810.1,87934.7,87810,87924.3,1140541
1769429100,87920.1,87931.5,87752,87761.6,1215727
1769429400,87761.6,87855.7,87698.6,87837.9,1321415
1769429700,87838,87897.4,87837.9,87874,791936
1769430000,87874.1,87899.1,87801,87812.1,627943
1769430300,87812,87850,87812,87843.4,666496
1769430600,87843.3,87853.6,87779.2,87785.7,558881
1769430900,87785.6,87820.1,87743.9,87744,754762
1769431200,87744.1,87762.5,87694.8,87725.6,1187158
1769431500,87725.6,87741.3,87725.6,87738.7,1040893
1769431800,87738.6,87803.2,87738.6,87780.5,655635
1769432100,87780.6,87788.5,87743.6,87761.7,599733
1769432400,87761.8,87828.5,87679.3,87718.4,1593295
1769432700,87718.5,87749.7,87660.1,87660.1,1291241
1769433000,87660.1,87819.4,87660,87799.9,1362770
1769433300,87800,87902.4,87766.6,87857.7,1599424
1769433600,87857.8,87897.4,87857.2,87892.4,709572
1769433900,87892.5,87900.6,87850,87850.1,1552909
1769434200,87850,88010.3,87830.3,87980.1,3226648
1769434500,87980.2,88004.4,87838.9,87921,1759459
1769434800,87921.1,87980,87921,87963.1,822950
1769435100,87963.2,87974.8,87906.2,87943.3,503908
1769435400,87943.2,87969.5,87877.6,87934.1,737200
1769435700,87934.2,87955.2,87901.1,87920,431887
1769436000,87920.1,87948,87849.7,87916.7,785372
