time,open,high,low,close,Volume
1672531200,16537.5,16540.9,16504,16527,5381.399
1672534800,16527.1,16554.3,16524.1,16550.4,3210.826
1672538400,16550.5,16557.1,16534.8,16542.4,2399.668
1672542000,16542.5,16542.5,16515,16529.3,3214.48
1672545600,16529.2,16530.4,16508.8,16517.8,3150.954
1672549200,16517.8,16531.1,16508,16525.7,3268.293
1672552800,16525.6,16545.7,16525.6,16535.3,2726.582
1672556400,16535.3,16537.5,16488,16519.6,8852.672
1672560000,16519.5,16524.9,16502,16504.2,3289.761
1672563600,16504.3,16536.1,16496.8,16532.7,3948.702
1672567200,16532.7,16542.9,16527.3,16542.8,4110.425
1672570800,16542.9,16549.8,16535.1,16549.8,3768.388
1672574400,16549.8,16565.9,16542.9,16553.9,5482.001
1672578000,16553.8,16559.8,16530.5,16539.9,4505.256
1672581600,16539.9,16549.7,16533.1,16533.1,2448.444
1672585200,16533.2,16553.1,16524.6,16553.1,3107.183
1672588800,16553,16579,16552.6,16556,7482.092
1672592400,16556.1,16589.4,16555.5,16573.1,6126.892
1672596000,16573.1,16597,16573,16584.3,4955.635
1672599600,16584.3,16615.8,16584.2,16596.1,7406.797
1672603200,16596.1,16618.8,16592,16593.8,4951.995
1672606800,16593.7,16599.7,16584.1,16597.6,3040.626
1672610400,16597.6,16605.4,16579.1,16594.4,3633.682
1672614000,16594.4,16617.4,16594.4,16610.3,5040.212
1672617600,16610.4,16618.4,16572.9,16578,5774.202
1672621200,16578,16579.3,16541.2,16556.5,9532.229
1672624800,16556.5,16587.1,16547.5,16580.4,3292.203
1672628400,16580.4,16700.7,16575,16654.6,18043.112
1672632000,16654.7,16665,16621.8,16631.8,8205.467
1672635600,16631.8,16653.8,16612.8,16640,6882.642
1672639200,16640.1,16654.8,16627.8,16632.4,4079.99
1672642800,16632.5,16767.8,16630.8,16712.5,34167.373
1672646400,16712.6,16764,16701,16724.5,15067.451
1672650000,16724.6,16735.9,16705.1,16710,7428.434
1672653600,16710,16759.8,16703.2,16720.2,8279.414
1672657200,16720.1,16734,16696,16728.5,6775.332
1672660800,16728.4,16736.1,16713,16713.2,4678.572
1672664400,16713.2,16716.5,16674.3,16687.8,10046.081
1672668000,16687.7,16702.5,16665,16694.8,8935.589
1672671600,16694.7,16744.8,16688.4,16729.2,12200.994
1672675200,16729.2,16732.9,16704,16704.1,6548.028
1672678800,16704.1,16716.5,16702.6,16710.1,4115.314
1672682400,16710,16725.8,16703.9,16718.3,3188.873
1672686000,16718.3,16732.1,16711.1,16730.5,2697.782
1672689600,16730.5,16732,16702.7,16722.8,3836.094
1672693200,16722.7,16799,16715,16751.9,9106.205
1672696800,16751.9,16755.7,16685.1,16694.6,10723.212
1672700400,16694.6,16717.4,16650,16666,11556.583
1672704000,16665.9,16699.7,16639.5,16689.1,8954.36
1672707600,16689,16689.1,16645.5,16670.5,6321.721
1672711200,16670.4,16680,16665.2,16666.5,2974.963
1672714800,16666.5,16694,16661.5,16684.5,3801.419
1672718400,16684.4,16691.2,16675.2,16678,2331.004
1672722000,16677.9,16721.9,16677.7,16720,5682.914
1672725600,16720,16774,16717.7,16719.8,14948.156
1672729200,16719.8,16726.4,16700.6,16723.1,6435.281
1672732800,16723.1,16728.9,16691.7,16710,6822.343
1672736400,16710.1,16750.5,16710,16732.9,6532.91
1672740000,16732.9,16740.9,16716,16718.3,4774.934
1672743600,16718.2,16729.8,16703,16714.2,3878.215
1672747200,16714.2,16721.2,16695.7,16703.7,6066.134
1672750800,16703.8,16732.2,16703.7,16718.1,5633.08
1672754400,16718.2,16764.9,16633,16653.1,33040.987
1672758000,16653.1,16674.9,16610,16670.8,29071.069
1672761600,16670.9,16680.1,16606,16617.3,14840.489
1672765200,16617.3,16637,16600.3,16626,9304.479
1672768800,16626.1,16645.8,16621.2,16637.7,5468.815
1672772400,16637.6,16652,16615.1,16637.7,5505.693
1672776000,16637.6,16665.8,16636,16656.1,6661.503
1672779600,16656,16665.7,16652.4,16658.8,3880.582
1672783200,16658.8,16673,16642.9,16670.1,4068.634
1672786800,16670.2,16688.2,16660.2,16667.2,6070.52
1672790400,16667.3,16668.4,16645.7,16655.6,4299.783
1672794000,16655.6,16730,16652.3,16696.1,14283.553
1672797600,16696.1,16749.8,16695.5,16729,10777.263
1672801200,16729.1,16870,16729,16855.9,40719.495
1672804800,16855.9,16904.4,16841,16852.4,20900.843
1672808400,16852.5,16856.5,16832.3,16848.3,7856.39
1672812000,16848.3,16872.9,16842.2,16872.9,6521.234
1672815600,16872.8,16885.4,16841.1,16862.5,9605.247
1672819200,16862.5,16913.6,16826.7,16857.1,18658.974
1672822800,16857.1,16860.4,16824.5,16838.9,6614.273
1672826400,16838.9,16840.9,16826.1,16838,4847.863
1672830000,16837.9,16847.4,16826.2,16826.8,4561.085
1672833600,16826.7,16838.7,16800.1,16808,10884.695
1672837200,16808,16829.8,16804.3,16820.1,5583.459
