signal_number,signal_timestamp,entry_timestamp,exit_timestamp,current_close,entry_open,exit_close,mean_final_pred_close,forecast_return,upside_probability,position,gross_return,net_return
1,2024-03-04,2024-03-11,2024-08-19,33.75,33.75,39.78,28.9537712097168,-0.14211048267505788,0.2,-1,-0.17866666666666675,-0.18006666666666676
2,2024-08-19,2024-08-26,2025-02-03,39.78,39.79,32.47,36.05178298950195,-0.09372089015832194,0.4,-1,0.1839658205579291,0.18256582055792908
3,2025-02-03,2025-02-10,2025-07-21,32.47,32.44,41.9,28.632648468017578,-0.11818144539520854,0.2,-1,-0.2916152897657214,-0.2930152897657214
4,2025-07-21,2025-07-28,2026-01-05,41.9,41.82,381.62,46.52416076660156,0.11036183213846211,0.4,-1,-8.125298900047824,-8.126698900047824
