datetime,symbol,open,high,low,close,volume
1999-06-27 22:00:00,CME_MINI:NQ1!,2293.5,2357.0,2268.5,2347.5,3703.0
1999-07-04 22:00:00,CME_MINI:NQ1!,2383.5,2410.0,2341.0,2398.0,10417.0
1999-07-11 22:00:00,CME_MINI:NQ1!,2423.0,2489.0,2372.5,2484.0,14942.0
1999-07-18 22:00:00,CME_MINI:NQ1!,2475.5,2489.0,2283.5,2303.0,15389.0
1999-07-25 22:00:00,CME_MINI:NQ1!,2281.0,2353.0,2265.5,2294.0,15925.0
1999-08-01 22:00:00,CME_MINI:NQ1!,2266.5,2325.0,2164.5,2224.5,19952.0
1999-08-08 22:00:00,CME_MINI:NQ1!,2236.0,2302.5,2132.0,2297.5,21342.0
1999-08-15 22:00:00,CME_MINI:NQ1!,2318.0,2363.5,2278.0,2308.0,17531.0
1999-08-22 22:00:00,CME_MINI:NQ1!,2337.0,2477.5,2335.5,2405.0,15579.0
1999-08-29 22:00:00,CME_MINI:NQ1!,2405.0,2513.0,2332.5,2513.0,18354.0
1999-09-05 22:00:00,CME_MINI:NQ1!,2531.0,2564.0,2454.0,2537.0,5422.0
1999-09-12 22:00:00,CME_MINI:NQ1!,2540.0,2579.5,2442.5,2568.5,16498.0
1999-09-19 22:00:00,CME_MINI:NQ1!,2585.0,2588.0,2375.0,2426.0,27811.0
1999-09-26 22:00:00,CME_MINI:NQ1!,2427.0,2486.5,2379.5,2431.5,25479.0
1999-10-03 22:00:00,CME_MINI:NQ1!,2431.5,2599.0,2424.5,2578.0,23340.0
1999-10-10 22:00:00,CME_MINI:NQ1!,2578.0,2617.0,2405.0,2416.0,29215.0
1999-10-17 22:00:00,CME_MINI:NQ1!,2406.5,2547.0,2318.5,2496.5,25664.0
1999-10-24 22:00:00,CME_MINI:NQ1!,2497.5,2672.0,2438.0,2655.5,22464.0
1999-10-31 23:00:00,CME_MINI:NQ1!,2650.0,2784.0,2626.5,2784.0,23072.0
1999-11-07 23:00:00,CME_MINI:NQ1!,2750.5,2910.0,2740.5,2905.0,27083.0
1999-11-14 23:00:00,CME_MINI:NQ1!,2908.5,3049.0,2883.5,3043.5,29449.0
1999-11-21 23:00:00,CME_MINI:NQ1!,3052.0,3165.0,2982.5,3121.0,22504.0
1999-11-28 23:00:00,CME_MINI:NQ1!,3124.0,3218.5,2961.5,3174.0,42613.0
1999-12-05 23:00:00,CME_MINI:NQ1!,3174.5,3229.0,3105.0,3207.0,24076.0
1999-12-12 23:00:00,CME_MINI:NQ1!,3213.0,3458.5,3169.0,3413.5,39683.0
1999-12-19 23:00:00,CME_MINI:NQ1!,3439.0,3682.0,3431.5,3636.0,31450.0
1999-12-26 23:00:00,CME_MINI:NQ1!,3635.5,3804.5,3566.0,3754.0,42105.0
2000-01-02 23:00:00,CME_MINI:NQ1!,3750.0,3895.0,3257.0,3562.0,75762.0
2000-01-09 23:00:00,CME_MINI:NQ1!,3561.0,3804.5,3476.0,3752.5,72719.0
2000-01-16 23:00:00,CME_MINI:NQ1!,3743.0,3914.0,3669.5,3893.0,56659.0
2000-01-23 23:00:00,CME_MINI:NQ1!,3891.5,3938.0,3409.0,3475.0,82390.0
2000-01-30 23:00:00,CME_MINI:NQ1!,3462.0,3960.0,3371.0,3906.5,65782.0
2000-02-06 23:00:00,CME_MINI:NQ1!,3906.5,4144.0,3875.5,3992.5,90142.0
2000-02-13 23:00:00,CME_MINI:NQ1!,3983.5,4146.0,3861.0,3968.0,103045.0
2000-02-20 23:00:00,CME_MINI:NQ1!,3954.5,4316.0,3865.5,4194.0,101866.0
2000-02-27 23:00:00,CME_MINI:NQ1!,4182.5,4458.0,4029.0,4454.5,104418.0
2000-03-05 23:00:00,CME_MINI:NQ1!,4447.0,4668.0,4272.0,4605.0,62957.0
2000-03-12 23:00:00,CME_MINI:NQ1!,4590.0,4604.0,4108.0,4516.5,109290.0
2000-03-19 23:00:00,CME_MINI:NQ1!,4507.5,4884.0,4215.0,4804.0,131564.0
2000-03-26 23:00:00,CME_MINI:NQ1!,4787.0,4850.0,4211.5,4457.5,153411.0
2000-04-02 22:00:00,CME_MINI:NQ1!,4417.0,4417.0,3738.34,4337.0,127762.0
2000-04-09 22:00:00,CME_MINI:NQ1!,4031.66,4100.5,3148.0,3217.5,196213.0
2000-04-16 22:00:00,CME_MINI:NQ1!,3249.84,3781.0,3249.84,3535.0,127290.0
2000-04-23 22:00:00,CME_MINI:NQ1!,3488.5,3826.5,3223.0,3810.0,148004.0
2000-04-30 22:00:00,CME_MINI:NQ1!,3807.5,3910.0,3452.0,3695.0,157983.0
2000-05-07 22:00:00,CME_MINI:NQ1!,3682.0,3693.0,3194.0,3417.5,156182.0
2000-05-14 22:00:00,CME_MINI:NQ1!,3410.0,3683.5,3266.0,3280.0,152532.0
2000-05-21 22:00:00,CME_MINI:NQ1!,3276.0,3340.16,2902.5,3130.0,204753.0
2000-05-28 22:00:00,CME_MINI:NQ1!,3123.5,3775.5,3123.0,3751.5,141705.0
2000-06-04 22:00:00,CME_MINI:NQ1!,3752.0,3840.0,3605.0,3754.5,123166.0
2000-06-11 22:00:00,CME_MINI:NQ1!,3745.0,3898.0,3644.0,3827.5,140939.0
2000-06-18 22:00:00,CME_MINI:NQ1!,3823.5,4057.5,3718.0,3728.0,182532.0
2000-06-25 22:00:00,CME_MINI:NQ1!,3737.5,3876.0,3678.0,3817.0,162557.0
2000-07-02 22:00:00,CME_MINI:NQ1!,3801.5,3938.5,3652.0,3877.5,119321.0
2000-07-09 22:00:00,CME_MINI:NQ1!,3869.0,4099.0,3752.0,4078.0,188244.0
2000-07-16 22:00:00,CME_MINI:NQ1!,4075.5,4134.5,3872.5,3934.0,178587.0
2000-07-23 22:00:00,CME_MINI:NQ1!,3934.0,4007.0,3473.5,3506.0,223131.0
2000-07-30 22:00:00,CME_MINI:NQ1!,3508.0,3744.5,3370.0,3632.0,245907.0
2000-08-06 22:00:00,CME_MINI:NQ1!,3632.5,3809.0,3542.5,3663.5,196455.0
2000-08-13 22:00:00,CME_MINI:NQ1!,3662.5,3890.0,3634.5,3835.5,172695.0
2000-08-20 22:00:00,CME_MINI:NQ1!,3837.5,4001.0,3772.5,3959.0,189294.0
2000-08-27 22:00:00,CME_MINI:NQ1!,3955.5,4186.0,3929.0,4118.0,157461.0
2000-09-03 22:00:00,CME_MINI:NQ1!,4107.5,4143.0,3808.0,3808.0,107245.0
2000-09-10 22:00:00,CME_MINI:NQ1!,3808.0,3900.0,3669.5,3718.5,251519.0
2000-09-17 22:00:00,CME_MINI:NQ1!,3721.0,3874.0,3602.0,3776.0,348500.0
2000-09-24 22:00:00,CME_MINI:NQ1!,3776.5,3830.0,3580.5,3621.0,310630.0
2000-10-01 22:00:00,CME_MINI:NQ1!,3621.0,3668.0,3305.0,3357.5,358503.0
2000-10-08 22:00:00,CME_MINI:NQ1!,3359.5,3402.0,3021.5,3270.5,368860.0
