signal_number,signal_timestamp,entry_timestamp,exit_timestamp,current_close,entry_open,exit_close,mean_final_pred_close,forecast_return,upside_probability,position,gross_return,net_return,ret_24,ret_72,ret_168,ret_288,atr_24_pct,atr_72_pct,vol_24,vol_72,volume_ratio_24,rsi_14,above_sma_24,above_sma_72,above_sma_168,above_sma_288,atr_24_pct_live_pct,atr_72_pct_live_pct,vol_24_live_pct,vol_72_live_pct,volume_ratio_24_live_pct,rsi_14_live_pct,ret_24_live_pct,ret_72_live_pct,asset,split
1,2023-01-15 23:00:00,2023-01-16,2023-01-16 23:00:00,20882.7,20882.7,21188.3,20224.36640625,-0.0315253101251275,0.0,-1,-0.0146341229821813,-0.0160341229821813,-0.0038210544392923707,0.10854124641681717,0.21944909983824523,0.25292190649899204,0.007241640209359896,0.009853983334424072,0.003660234027565666,0.007709204909852444,0.6291415642748318,58.86228507150898,True,True,True,True,0.7678571428571429,0.8819444444444444,0.7253731343283583,0.8362369337979094,0.4107142857142857,0.5101449275362319,0.06567164179104477,0.8257839721254355,btc_1h,train
2,2023-01-16 23:00:00,2023-01-17,2023-01-17 23:00:00,21188.3,21188.2,21130.9,20814.65703125,-0.0176344005300094,0.0,-1,0.0027043354319856,0.0013043354319856,0.014634122982181363,0.06344545828690729,0.23405184714933847,0.258055705642408,0.009479878045902708,0.010311705044765269,0.005516821972967646,0.0076464339274903426,0.399222514750888,70.8259691292564,True,True,True,True,0.8361111111111111,0.8557692307692307,0.7715877437325905,0.7717041800643086,0.16111111111111112,0.7534246575342466,0.7047353760445683,0.6720257234726688,btc_1h,train
3,2023-01-17 23:00:00,2023-01-18,2023-01-18 23:00:00,21130.9,21130.8,20680.0,20978.6390625,-0.0072056058899527,0.2,-1,0.0213337876464686,0.0199337876464686,-0.002709042254451677,0.008018966931898408,0.21241278802900965,0.2560123158858285,0.008044893181707037,0.00823570116643294,0.0032195017950458512,0.004204919590590761,0.8482342479714481,47.62268266085068,False,True,True,True,0.7315068493150685,0.7440476190476191,0.6109589041095891,0.6477611940298508,0.5753424657534246,0.27123287671232876,0.09315068493150686,0.20597014925373133,btc_1h,train
4,2023-01-18 23:00:00,2023-01-19,2023-01-19 23:00:00,20680.0,20680.1,21068.3,20801.623046875,0.0058811918218085,0.6,1,0.0187716693826431,0.0173716693826431,-0.02133841909241918,-0.00970659924243511,0.15300768857641467,0.22050543561656766,0.009795293359123158,0.009242827208252747,0.0051849638572812,0.004723189632848765,0.703352777904009,29.71170236418888,False,False,True,True,0.8493150684931506,0.8166666666666667,0.7561643835616438,0.6880222841225627,0.4931506849315068,0.0273972602739726,0.005479452054794521,0.0,btc_1h,train
5,2023-01-19 23:00:00,2023-01-20,2023-01-20 23:00:00,21068.3,21068.3,22661.1,21222.584765625,0.0073230761677497,0.8,1,0.0756017334099097,0.0742017334099097,0.018776595744680824,-0.005663502970979284,0.11839367236436993,0.24395831488205943,0.00566846874213865,0.007784008834758062,0.003069122401339224,0.0039486833554370614,0.6449344201750653,66.56078191814285,True,True,True,True,0.4904109589041096,0.6109589041095891,0.4931506849315068,0.547945205479452,0.4657534246575342,0.7095890410958904,0.7506849315068493,0.052054794520547946,btc_1h,train
6,2023-01-20 23:00:00,2023-01-21,2023-01-21 23:00:00,22661.1,22661.0,22781.9,22521.598046875,-0.0061560097755624,0.4,-1,-0.0053351573187414,-0.0067351573187414,0.07560173340990972,0.07241527809984416,0.1373656156834402,0.3232990942907028,0.00786976360370857,0.00735958929129164,0.00795721220741472,0.005908342062746174,1.0828495732439047,97.65686164858509,True,True,True,True,0.6465753424657534,0.5589041095890411,0.863013698630137,0.7150684931506849,0.684931506849315,1.0,0.936986301369863,0.726027397260274,btc_1h,train
7,2023-01-21 23:00:00,2023-01-22,2023-01-22 23:00:00,22781.9,22781.8,22704.6,22613.237890625,-0.0074033381489253,0.2,-1,0.0033886699031683,0.0019886699031683,0.005330720927051225,0.10163926499032883,0.08677752971931252,0.32686651484883256,0.010429332057466675,0.007833155560627808,0.0066719896161258115,0.0062838607168740615,1.2459998815192375,43.028204982691214,False,True,True,True,0.8602739726027397,0.6054794520547945,0.7917808219178082,0.7068493150684931,0.7561643835616438,0.14794520547945206,0.3561643835616438,0.7890410958904109,btc_1h,train
8,2023-01-22 23:00:00,2023-01-23,2023-01-23 23:00:00,22704.6,22704.7,22913.1,22526.709765625,-0.0078349864950273,0.2,-1,-0.0091787163010301,-0.0105787163010301,-0.00339304447829214,0.07766644674700851,0.08724446551451659,0.302705866152575,0.007800915526662738,0.008706813695120037,0.004377290470766254,0.006571508127775273,0.8538022866321932,44.3742098609354,False,True,True,True,0.5013698630136987,0.7561643835616438,0.4986301369863014,0.7561643835616438,0.5671232876712329,0.18356164383561643,0.13972602739726028,0.6383561643835617,btc_1h,train
9,2023-01-23 23:00:00,2023-01-24,2023-01-24 23:00:00,22913.1,22913.3,22627.4,22821.835546875,-0.0039830687739764,0.4,-1,0.0124774694173251,0.0110774694173251,0.009183161121534944,0.011120378092855265,0.08140341603620871,0.27751356233656876,0.00831638524104843,0.008805309820340529,0.00472955800638716,0.005284142429150762,0.36437878502139703,54.38043701623393,True,True,True,True,0.5589041095890411,0.736986301369863,0.4876712328767123,0.5123287671232877,0.15616438356164383,0.42191780821917807,0.473972602739726,0.18356164383561643,btc_1h,train
10,2023-01-24 23:00:00,2023-01-25,2023-01-25 23:00:00,22627.4,22627.5,23060.6,23161.596875,0.0236084072849729,1.0,1,0.019140426472213,0.017740426472213,-0.012468849697334639,-0.0067816995070648645,0.07082045724507702,0.20115723537530528,0.00719058162522722,0.00781316751666858,0.003444033452925656,0.00417549373692857,2.7674818779798613,37.55144032921803,False,False,True,True,0.2958904109589041,0.4136986301369863,0.28493150684931506,0.3561643835616438,0.936986301369863,0.07945205479452055,0.08767123287671233,0.0821917808219178,btc_1h,train
