signal_number,signal_timestamp,entry_timestamp,exit_timestamp,upside_probability,forecast_return,position,exit_reason,exit_price,underlying_return,net_return,equity
16,2023-01-30 23:00:00,2023-01-31,2023-01-31 23:00:00,1.0,0.0112241844015529,1,time,23119.4,0.013124509748070778,0.11724509748070779,1.2672660140594931
17,2023-01-31 23:00:00,2023-02-01,2023-02-01 23:00:00,0.8,0.0106797483931243,0,flat,,0.0,0.0,1.2672660140594931
18,2023-02-01 23:00:00,2023-02-02,2023-02-02 23:00:00,0.6,-0.0013753358091023,0,flat,,0.0,0.0,1.2672660140594931
19,2023-02-02 23:00:00,2023-02-03,2023-02-03 23:00:00,0.6,-0.0007748618211304,0,flat,,0.0,0.0,1.2672660140594931
20,2023-02-03 23:00:00,2023-02-04,2023-02-04 23:00:00,0.8,0.0074551381661237,0,flat,,0.0,0.0,1.2672660140594931
21,2023-02-04 23:00:00,2023-02-05,2023-02-05 23:00:00,1.0,0.0063594934473429,1,time,22929.2,-0.01686775916921779,-0.1826775916921779,1.0357649105777593
22,2023-02-05 23:00:00,2023-02-06,2023-02-06 23:00:00,0.6,-0.0003744883707238,0,flat,,0.0,0.0,1.0357649105777593
23,2023-02-06 23:00:00,2023-02-07,2023-02-07 23:00:00,0.6,0.0048693512250798,0,flat,,0.0,0.0,1.0357649105777593
24,2023-02-07 23:00:00,2023-02-08,2023-02-08 23:00:00,1.0,0.0071260426485209,1,time,22955.9,-0.011973779918309613,-0.13373779918309614,0.8972439909660134
25,2023-02-08 23:00:00,2023-02-09,2023-02-09 23:00:00,0.0,-0.0121302557294639,0,flat,,0.0,0.0,0.8972439909660134
26,2023-02-09 23:00:00,2023-02-10,2023-02-10 23:00:00,0.4,-0.00381438947686,0,flat,,0.0,0.0,0.8972439909660134
27,2023-02-10 23:00:00,2023-02-11,2023-02-11 23:00:00,1.0,0.0238877958389998,1,time,21851.3,0.01076387925212563,0.0936387925212563,0.9812608348770239
28,2023-02-11 23:00:00,2023-02-12,2023-02-12 23:00:00,0.6,0.002612580544407,0,flat,,0.0,0.0,0.9812608348770239
29,2023-02-12 23:00:00,2023-02-13,2023-02-13 23:00:00,0.4,-0.0009351739519362,0,flat,,0.0,0.0,0.9812608348770239
