split,leverage,stop_margin_loss,trades,win_rate,avg_net_return,total_return,max_drawdown,stops
all,10.0,0.15,42,0.6666666666666666,0.15992570433629544,129.635020141465,-0.38587499999999997,9
all,10.0,0.3,42,0.6666666666666666,0.14425142274315897,56.1127904252997,-0.49005413163446454,2
all,10.0,,42,0.6666666666666666,0.14011948322573667,42.80949784517166,-0.49005413163446454,0
all,10.0,0.6,42,0.6666666666666666,0.14011948322573667,42.80949784517166,-0.49005413163446454,0
all,5.0,0.15,42,0.6666666666666666,0.07212571137157948,10.650595296766442,-0.27186082037807435,2
all,5.0,,42,0.6666666666666666,0.07005974161286833,9.490868239899616,-0.27186082037807435,0
all,5.0,0.3,42,0.6666666666666666,0.07005974161286833,9.490868239899616,-0.27186082037807435,0
all,5.0,0.6,42,0.6666666666666666,0.07005974161286833,9.490868239899616,-0.27186082037807435,0
all,3.0,,42,0.6666666666666666,0.042035844967721,3.6581163121591045,-0.1698801707465275,0
all,3.0,0.15,42,0.6666666666666666,0.042035844967721,3.6581163121591045,-0.1698801707465275,0
all,3.0,0.3,42,0.6666666666666666,0.042035844967721,3.6581163121591045,-0.1698801707465275,0
all,3.0,0.6,42,0.6666666666666666,0.042035844967721,3.6581163121591045,-0.1698801707465275,0
all,2.0,,42,0.6666666666666666,0.028023896645147334,1.922696932996427,-0.11555423201735304,0
all,2.0,0.15,42,0.6666666666666666,0.028023896645147334,1.922696932996427,-0.11555423201735304,0
all,2.0,0.3,42,0.6666666666666666,0.028023896645147334,1.922696932996427,-0.11555423201735304,0
all,2.0,0.6,42,0.6666666666666666,0.028023896645147334,1.922696932996427,-0.11555423201735304,0
all,1.0,,42,0.6666666666666666,0.014011948322573667,0.7530172235985821,-0.058942916883990226,0
all,1.0,0.15,42,0.6666666666666666,0.014011948322573667,0.7530172235985821,-0.058942916883990226,0
all,1.0,0.3,42,0.6666666666666666,0.014011948322573667,0.7530172235985821,-0.058942916883990226,0
all,1.0,0.6,42,0.6666666666666666,0.014011948322573667,0.7530172235985821,-0.058942916883990226,0
test,10.0,0.15,13,0.5384615384615384,0.1418378984278759,2.1993531305110947,-0.20141376223779528,4
test,10.0,,13,0.5384615384615384,0.12590877805629472,1.4837644816562543,-0.2855436356413281,0
test,10.0,0.3,13,0.5384615384615384,0.12590877805629472,1.4837644816562543,-0.2855436356413281,0
test,10.0,0.6,13,0.5384615384615384,0.12590877805629472,1.4837644816562543,-0.2855436356413281,0
test,5.0,,13,0.5384615384615384,0.06295438902814736,0.8298451559680253,-0.1463941628990294,0
test,5.0,0.15,13,0.5384615384615384,0.06295438902814736,0.8298451559680253,-0.1463941628990294,0
test,5.0,0.3,13,0.5384615384615384,0.06295438902814736,0.8298451559680253,-0.1463941628990294,0
test,5.0,0.6,13,0.5384615384615384,0.06295438902814736,0.8298451559680253,-0.1463941628990294,0
test,3.0,,13,0.5384615384615384,0.03777263341688842,0.5025308779059428,-0.08870586055822538,0
test,3.0,0.15,13,0.5384615384615384,0.03777263341688842,0.5025308779059428,-0.08870586055822538,0
test,3.0,0.3,13,0.5384615384615384,0.03777263341688842,0.5025308779059428,-0.08870586055822538,0
test,3.0,0.6,13,0.5384615384615384,0.03777263341688842,0.5025308779059428,-0.08870586055822538,0
test,2.0,,13,0.5384615384615384,0.025181755611258946,0.334091706541211,-0.05942702797841948,0
test,2.0,0.15,13,0.5384615384615384,0.025181755611258946,0.334091706541211,-0.05942702797841948,0
test,2.0,0.3,13,0.5384615384615384,0.025181755611258946,0.334091706541211,-0.05942702797841948,0
test,2.0,0.6,13,0.5384615384615384,0.025181755611258946,0.334091706541211,-0.05942702797841948,0
test,1.0,,13,0.5384615384615384,0.012590877805629473,0.16576435495410302,-0.029858407792344166,0
test,1.0,0.15,13,0.5384615384615384,0.012590877805629473,0.16576435495410302,-0.029858407792344166,0
test,1.0,0.3,13,0.5384615384615384,0.012590877805629473,0.16576435495410302,-0.029858407792344166,0
test,1.0,0.6,13,0.5384615384615384,0.012590877805629473,0.16576435495410302,-0.029858407792344166,0
train,10.0,0.15,21,0.7142857142857143,0.1319407496764215,7.108996484717865,-0.38587499999999997,4
train,10.0,0.3,21,0.7142857142857143,0.11759592767255594,4.545152912979048,-0.49005413163446454,1
train,10.0,,21,0.7142857142857143,0.11281467983166212,3.7497704012008324,-0.49005413163446454,0
train,10.0,0.6,21,0.7142857142857143,0.11281467983166212,3.7497704012008324,-0.49005413163446454,0
train,5.0,0.15,21,0.7142857142857143,0.05879796383627797,1.7843913822298427,-0.27186082037807435,1
train,5.0,,21,0.7142857142857143,0.05640733991583106,1.619938340480263,-0.27186082037807435,0
train,5.0,0.3,21,0.7142857142857143,0.05640733991583106,1.619938340480263,-0.27186082037807435,0
train,5.0,0.6,21,0.7142857142857143,0.05640733991583106,1.619938340480263,-0.27186082037807435,0
train,3.0,,21,0.7142857142857143,0.03384440394949863,0.8720404145957985,-0.1698801707465275,0
train,3.0,0.15,21,0.7142857142857143,0.03384440394949863,0.8720404145957985,-0.1698801707465275,0
train,3.0,0.3,21,0.7142857142857143,0.03384440394949863,0.8720404145957985,-0.1698801707465275,0
train,3.0,0.6,21,0.7142857142857143,0.03384440394949863,0.8720404145957985,-0.1698801707465275,0
train,2.0,,21,0.7142857142857143,0.022562935966332416,0.5458339116022415,-0.11555423201735304,0
train,2.0,0.15,21,0.7142857142857143,0.022562935966332416,0.5458339116022415,-0.11555423201735304,0
train,2.0,0.3,21,0.7142857142857143,0.022562935966332416,0.5458339116022415,-0.11555423201735304,0
train,2.0,0.6,21,0.7142857142857143,0.022562935966332416,0.5458339116022415,-0.11555423201735304,0
train,1.0,,21,0.7142857142857143,0.011281467983166208,0.25489021656230015,-0.058942916883990226,0
train,1.0,0.15,21,0.7142857142857143,0.011281467983166208,0.25489021656230015,-0.058942916883990226,0
train,1.0,0.3,21,0.7142857142857143,0.011281467983166208,0.25489021656230015,-0.058942916883990226,0
train,1.0,0.6,21,0.7142857142857143,0.011281467983166208,0.25489021656230015,-0.058942916883990226,0
validation,10.0,0.15,8,0.75,0.2627788949196464,4.035357687569117,-0.15000000000000002,1
validation,10.0,0.3,8,0.75,0.24402889491964638,3.1467651544686843,-0.30000000000000004,1
