bucket_type,bucket,n,actual_up_rate,mean_pred_accuracy,prob_signal_accuracy,net_win_rate,avg_net_return,avg_atr_24_pct,avg_future_abs_ret_24
atr_24_pct_quintile,1,237,0.510548523206751,0.48945147679324896,0.48523206751054854,0.4050632911392405,-0.003949474400682676,0.0032294957739711417,0.013021406358053397
atr_24_pct_quintile,2,236,0.4915254237288136,0.5042372881355932,0.5084745762711864,0.4745762711864407,-0.0007745431823020478,0.005091574908559035,0.016028695193208514
atr_24_pct_quintile,3,236,0.4788135593220339,0.5254237288135594,0.5296610169491526,0.4830508474576271,0.000523853510926495,0.006472544305067943,0.015944563699150475
atr_24_pct_quintile,4,236,0.5042372881355932,0.4915254237288136,0.4872881355932203,0.461864406779661,-0.0008732462135944463,0.007927170897963002,0.01698673808349777
atr_24_pct_quintile,5,236,0.5338983050847458,0.559322033898305,0.576271186440678,0.5635593220338984,0.002488150444324746,0.011708537107120297,0.024586370260112993
pre_vol_24_quintile,1,237,0.5063291139240507,0.5274261603375527,0.5274261603375527,0.45147679324894513,-0.00247656289963242,0.003336189251607827,0.01311599450507459
pre_vol_24_quintile,2,236,0.5127118644067796,0.4703389830508475,0.4788135593220339,0.4406779661016949,-0.002037607752106388,0.005314712919209337,0.01663494120074491
pre_vol_24_quintile,3,236,0.423728813559322,0.4788135593220339,0.4703389830508475,0.4406779661016949,0.00011854217217779788,0.00652818712855726,0.01528897721733594
pre_vol_24_quintile,4,236,0.5423728813559322,0.5550847457627118,0.559322033898305,0.5211864406779662,8.36383979163682e-05,0.008035768545232108,0.01771671385958519
pre_vol_24_quintile,5,236,0.5338983050847458,0.538135593220339,0.5508474576271186,0.5338983050847458,0.0017204890898885336,0.01121401305706795,0.02381074601404937
pre_vol_72_quintile,1,237,0.48523206751054854,0.5232067510548524,0.510548523206751,0.4472573839662447,-0.002087447175236103,0.004180915331978557,0.015742178686577145
pre_vol_72_quintile,2,236,0.4915254237288136,0.4788135593220339,0.4957627118644068,0.4491525423728814,-0.0028922153773133195,0.00528158403842242,0.013970435528782613
pre_vol_72_quintile,3,236,0.5127118644067796,0.5127118644067796,0.5084745762711864,0.4915254237288136,0.0003279575000374077,0.0064288725360974516,0.017364183017291656
pre_vol_72_quintile,4,236,0.4872881355932203,0.5169491525423728,0.5296610169491526,0.4788135593220339,0.0006085308224842782,0.007767549283640513,0.016247643259068415
pre_vol_72_quintile,5,236,0.5423728813559322,0.538135593220339,0.5423728813559322,0.5211864406779662,0.0014500244428292714,0.010766370363737357,0.023231804405996013
future_vol_24_quintile,1,237,0.4810126582278481,0.540084388185654,0.5316455696202531,0.4219409282700422,-0.001350538001795458,0.004911241661784768,0.005546824199243218
future_vol_24_quintile,2,236,0.5127118644067796,0.5127118644067796,0.5084745762711864,0.461864406779661,-0.0010486074433219746,0.006150561013727602,0.009954784164246342
future_vol_24_quintile,3,236,0.5296610169491526,0.4872881355932203,0.4915254237288136,0.4661016949152542,-0.0014136338576947914,0.006679802687966607,0.015747076285081214
future_vol_24_quintile,4,236,0.5169491525423728,0.5635593220338984,0.5635593220338984,0.559322033898305,0.0014529291391472932,0.0075403494156054875,0.022653935135401523
future_vol_24_quintile,5,236,0.4788135593220339,0.4661016949152542,0.4915254237288136,0.4788135593220339,-0.00023642212003116458,0.009140242171699437,0.03269682576835089
