split,score,brier,log_loss,auc,mean_p,actual_up_rate
train,score_raw,0.331355717514363,2.093617259114922,0.5271971705042634,0.4477401652542373,0.5112994350282486
train,score_iso,0.24888134299618084,0.6909064527839887,0.5339355858589084,0.5112994350282486,0.5112994350282486
train,score_logit,0.24860877057737335,0.6902970331839119,0.534865710727174,0.5113194522488749,0.5112994350282486
validation,score_raw,0.3393218559324365,1.9010546787016263,0.5134387351778656,0.5144067669491525,0.5127118644067796
validation,score_iso,0.25013252265319896,0.6933976271834976,0.5218828602227812,0.5176234643983676,0.5127118644067796
validation,score_logit,0.24886013909319993,0.6907145519145016,0.4833632770391664,0.5154053525831435,0.5127118644067796
test,score_raw,0.34430352742643466,2.4372715690388937,0.5117142857142858,0.4945147637130801,0.47257383966244726
test,score_iso,0.2519664946994062,0.6970869306012772,0.5130357142857143,0.5149483572088847,0.47257383966244726
test,score_logit,0.24892361999661444,0.6905752155164848,0.5092857142857143,0.5192628756792986,0.47257383966244726
