rule,side,n,direction_accuracy,avg_unlevered_direction_return,avg_original_net_return,vol_col,vol_rule,p_rule,leakage_safe
p_ge_0p8+pre_vol_24_quintile:all_vol,long,312,0.532051282051282,0.0018266607185782417,0.0007503127747279891,pre_vol_24_quintile,all_vol,p_ge_0p8,False
p_ge_0p8+pre_vol_72_quintile:all_vol,long,312,0.532051282051282,0.0018266607185782417,0.0007503127747279891,pre_vol_72_quintile,all_vol,p_ge_0p8,False
p_eq_0+pre_vol_72_quintile:mid_vol_q2_q4,short,94,0.5319148936170213,-0.0008215129802189436,-0.0025989367419368753,pre_vol_72_quintile,mid_vol_q2_q4,p_eq_0,False
p_le_0p2+pre_vol_24_quintile:low_vol_q1,short,79,0.5316455696202531,-4.9466713851185165e-05,-0.0016326022310933842,pre_vol_24_quintile,low_vol_q1,p_le_0p2,False
p_eq_0+pre_vol_24_quintile:mid_vol_q2_q4,short,97,0.5257731958762887,0.001206885860098937,-0.000494947525096813,pre_vol_24_quintile,mid_vol_q2_q4,p_eq_0,False
p_ge_0p6+atr_24_pct_quintile:all_vol,long,531,0.5235404896421846,0.002162534836473154,0.0010993378265087375,atr_24_pct_quintile,all_vol,p_ge_0p6,False
p_ge_0p6+pre_vol_24_quintile:all_vol,long,531,0.5235404896421846,0.002162534836473154,0.0010993378265087375,pre_vol_24_quintile,all_vol,p_ge_0p6,False
p_ge_0p6+pre_vol_72_quintile:all_vol,long,531,0.5235404896421846,0.002162534836473154,0.0010993378265087375,pre_vol_72_quintile,all_vol,p_ge_0p6,False
p_le_0p4+pre_vol_72_quintile:low_vol_q1,short,136,0.5220588235294118,-3.1989462173336814e-05,-0.0016691760668095911,pre_vol_72_quintile,low_vol_q1,p_le_0p4,False
p_eq_0+atr_24_pct_quintile:mid_vol_q2_q4,short,94,0.5212765957446809,-0.0004628075431248165,-0.0021744556530004693,atr_24_pct_quintile,mid_vol_q2_q4,p_eq_0,False
p_le_0p4+pre_vol_72_quintile:high_vol_q4_q5,short,252,0.5198412698412699,0.0005654262388341094,-0.0011664856083837079,pre_vol_72_quintile,high_vol_q4_q5,p_le_0p4,False
p_ge_0p8+pre_vol_72_quintile:mid_vol_q2_q4,long,183,0.5191256830601093,0.002207034682463752,0.001006415560102991,pre_vol_72_quintile,mid_vol_q2_q4,p_ge_0p8,False
p_le_0p4+pre_vol_24_quintile:low_vol_q1,short,135,0.5185185185185185,-0.00024740931878076256,-0.0018157786078743824,pre_vol_24_quintile,low_vol_q1,p_le_0p4,False
p_le_0p4+pre_vol_24_quintile:high_vol_q5,short,112,0.5178571428571429,0.0003532168975017093,-0.0015093151607172427,pre_vol_24_quintile,high_vol_q5,p_le_0p4,False
p_le_0p4+pre_vol_24_quintile:high_vol_q4_q5,short,246,0.516260162601626,-0.0007268946619883658,-0.002512392452276441,pre_vol_24_quintile,high_vol_q4_q5,p_le_0p4,False
p_eq_0+pre_vol_72_quintile:high_vol_q5,short,33,0.5151515151515151,0.0010201529838958455,-0.0007981696875239934,pre_vol_72_quintile,high_vol_q5,p_eq_0,False
p_le_0p4+atr_24_pct_quintile:mid_vol_q2_q4,short,398,0.5150753768844221,0.0001522795224309268,-0.0015257569015344854,atr_24_pct_quintile,mid_vol_q2_q4,p_le_0p4,False
p_ge_0p6+pre_vol_24_quintile:low_vol_q1_q2,long,202,0.5148514851485149,-6.560129675606064e-05,-0.0012461917875481857,pre_vol_24_quintile,low_vol_q1_q2,p_ge_0p6,False
p_le_0p4+pre_vol_72_quintile:low_vol_q1_q2,short,269,0.5130111524163569,-0.0010821139487647584,-0.002701020336059494,pre_vol_72_quintile,low_vol_q1_q2,p_le_0p4,False
