signal_number,signal_timestamp,entry_timestamp,exit_timestamp,current_close,entry_open,exit_close,mean_final_pred_close,forecast_return,upside_probability,position,gross_return,net_return,actual_up,mean_pred_up,mean_pred_correct,prob_signal_correct,atr_24_pct,pre_vol_24,pre_vol_72,pre_abs_ret_24,future_vol_24,future_abs_ret_24,atr_24_pct_quintile,pre_vol_24_quintile,pre_vol_72_quintile,pre_abs_ret_24_quintile,future_vol_24_quintile,atr_24_pct_live_percentile,pre_vol_24_live_percentile,pre_vol_72_live_percentile
11,2023-01-25 23:00:00,2023-01-26,2023-01-26 23:00:00,23060.6,23060.6,23001.9,22891.049609375,-0.00735238418016,0.2,-1,0.002545467160438,0.001145467160438,False,False,True,True,0.00989295595084257,0.009292469876718919,0.0062742557220492115,0.0054430735810768,0.003064222998916388,0.002548712370190112,5,5,5,5,2,,,
12,2023-01-26 23:00:00,2023-01-27,2023-01-27 23:00:00,23001.9,23001.9,23068.0,23089.897265625,0.0038256520385272,0.8,1,0.0028736756528808,0.0014736756528808,True,True,True,True,0.00692424683758009,0.00306422299891638,0.005929665503225968,0.002446141639764828,0.004708902743161362,0.0028695545402747545,3,2,5,2,4,,,
13,2023-01-27 23:00:00,2023-01-28,2023-01-28 23:00:00,23068.0,23068.1,23015.9,23269.82734375,0.0087492345998786,1.0,1,-0.0022628651687827,-0.0036628651687827,False,True,False,False,0.007588434194555242,0.004708902743161358,0.006192268301665433,0.003393763299649022,0.0016497325444436157,0.002261094316972921,4,4,5,4,1,,,
14,2023-01-28 23:00:00,2023-01-29,2023-01-29 23:00:00,23015.9,23016.0,23740.3,23142.779296875,0.0055126802286679,0.8,1,0.0314694125825512,0.0300694125825512,True,True,True,True,0.003284685804161467,0.0016497325444436023,0.0033342565442028523,0.0013324549999655932,0.0036530829772670323,0.03098874456523102,1,1,2,1,3,,,
15,2023-01-29 23:00:00,2023-01-30,2023-01-30 23:00:00,23740.3,23740.2,22819.9,23682.237890625,-0.0024457192779787,0.4,-1,0.0387654695411159,0.0373654695411159,False,False,True,True,0.007585554240398541,0.0036530829772670253,0.0035726492886475,0.002902040197108787,0.0054002657778268615,0.03954106369804264,4,3,2,3,4,,,
16,2023-01-30 23:00:00,2023-01-31,2023-01-31 23:00:00,22819.9,22819.9,23119.4,23076.034765625,0.0112241844015529,1.0,1,0.0131245097480707,0.0117245097480707,True,True,True,True,0.008098012407299467,0.005400265777826858,0.004014105095072556,0.0036000093468451233,0.003923030343780636,0.013039129606954305,4,4,3,4,3,,,
17,2023-01-31 23:00:00,2023-02-01,2023-02-01 23:00:00,23119.4,23119.5,23730.0,23366.309375,0.0106797483931243,0.8,1,0.0264062804126385,0.0250062804126385,True,True,True,True,0.005980727585202627,0.003923030343780629,0.004509173719023573,0.0026051278286244686,0.0037663123980184966,0.026067978537336382,3,3,3,2,3,,,
18,2023-02-01 23:00:00,2023-02-02,2023-02-02 23:00:00,23730.0,23730.1,23493.1,23697.36328125,-0.0013753358091023,0.6,1,-0.0099873156876709,-0.0113873156876709,False,False,True,False,0.006585194549796334,0.003766312398018489,0.004521495886692765,0.0024285720134166557,0.007156060182919068,0.010033309432752671,3,3,3,2,5,,,
19,2023-02-02 23:00:00,2023-02-03,2023-02-03 23:00:00,23493.1,23493.0,23424.7,23474.89609375,-0.0007748618211304,0.6,1,-0.0029072489677776,-0.0043072489677776,False,False,True,False,0.008621680408290096,0.007156060182919063,0.005153824708570589,0.004837916379794398,0.003147991396680358,0.0029157398027512783,4,5,4,5,2,,,
20,2023-02-03 23:00:00,2023-02-04,2023-02-04 23:00:00,23424.7,23424.7,23322.6,23599.334375,0.0074551381661237,0.8,1,-0.0043586470691194,-0.0057586470691194,False,True,False,False,0.005948493114817557,0.003147991396680348,0.0049823181380901456,0.002287971671867487,0.0015819030177914647,0.004368173663375602,3,2,4,2,1,,,
21,2023-02-04 23:00:00,2023-02-05,2023-02-05 23:00:00,23322.6,23322.6,22929.2,23470.919921875,0.0063594934473429,1.0,1,-0.0168677591692177,-0.0182677591692177,False,True,False,False,0.003330817890515361,0.001581903017791443,0.004541626460174598,0.0012221613663014146,0.0029775350877666983,0.01701164007958328,1,1,3,1,2,,,
22,2023-02-05 23:00:00,2023-02-06,2023-02-06 23:00:00,22929.2,22929.3,22757.7,22920.61328125,-0.0003744883707238,0.6,1,-0.0074838743441796,-0.0088838743441796,False,False,True,False,0.004916402084096558,0.0029775350877666875,0.0026388291627694963,0.0018870229725830672,0.003178869087235188,0.007507657798974005,2,2,1,2,2,,,
23,2023-02-06 23:00:00,2023-02-07,2023-02-07 23:00:00,22757.7,22757.8,23234.1,22868.515234375,0.0048693512250798,0.6,1,0.0209290880489325,0.0195290880489325,True,True,True,True,0.006016828004001561,0.003178869087235177,0.002647077847827119,0.0023060483488472894,0.00485821704337236,0.020717477448971976,3,2,1,2,4,,,
24,2023-02-07 23:00:00,2023-02-08,2023-02-08 23:00:00,23234.1,23234.1,22955.9,23399.6671875,0.0071260426485209,1.0,1,-0.0119737799183096,-0.0133737799183096,False,True,False,False,0.005944387774865406,0.004858217043372353,0.0037740279766473044,0.002935075331809441,0.0027462879953936642,0.012046043042189132,3,4,2,3,2,,,
25,2023-02-08 23:00:00,2023-02-09,2023-02-09 23:00:00,22955.9,22955.9,21793.4,22677.4390625,-0.0121302557294639,0.0,-1,0.0506405760610562,0.0492405760610562,False,False,True,True,0.004827553410379593,0.0027462879953936495,0.003705724717954889,0.0020279125753928837,0.005559437183306936,0.051967812414280744,2,2,2,2,4,,,
26,2023-02-09 23:00:00,2023-02-10,2023-02-10 23:00:00,21793.4,21793.3,21618.6,21710.271484375,-0.00381438947686,0.4,-1,0.0080162251701211,0.0066162251701211,False,False,True,True,0.008353446456266584,0.005559437183306929,0.004653653532641601,0.0036477759909556706,0.003648615542732853,0.008053116404976047,4,4,3,4,3,,,
27,2023-02-10 23:00:00,2023-02-11,2023-02-11 23:00:00,21618.6,21618.6,21851.3,22135.020703125,0.0238877958389998,1.0,1,0.0107638792521256,0.0093638792521256,True,True,True,True,0.006260234242735427,0.00364861554273284,0.004178522810188956,0.0028435949898187505,0.0017788799912553577,0.010706361081492718,3,3,3,3,1,,,
28,2023-02-11 23:00:00,2023-02-12,2023-02-12 23:00:00,21851.3,21851.2,21771.1,21908.38828125,0.002612580544407,0.6,1,-0.0036657025701106,-0.0050657025701106,False,True,False,False,0.0030654163978039556,0.00177887999125533,0.004069924446639598,0.001163262066756765,0.002888688177597479,0.0036770141194221134,1,1,3,1,2,,,
29,2023-02-12 23:00:00,2023-02-13,2023-02-13 23:00:00,21771.1,21771.0,21766.2,21750.740234375,-0.0009351739519362,0.4,-1,0.0002204767810389,-0.001179523218961,False,False,True,True,0.004224254478031296,0.002888688177597463,0.0028554806260341747,0.0017498260306539521,0.0037848393515149963,0.0002250943453400377,1,2,1,1,3,,,
30,2023-02-13 23:00:00,2023-02-14,2023-02-14 23:00:00,21766.2,21766.1,22187.4,21915.06484375,0.0068392665577821,1.0,1,0.0193557872103868,0.0179557872103868,True,True,True,True,0.006508945061609286,0.003784839351514984,0.002904293084130425,0.0029838875040226753,0.005862548696865363,0.01916625230873235,3,3,1,3,4,,,
31,2023-02-14 23:00:00,2023-02-15,2023-02-15 23:00:00,22187.4,22187.4,24332.6,22263.240234375,0.0034181668142729,0.6,1,0.0966855061881968,0.0952855061881968,True,True,True,True,0.006764349736036375,0.005862548696865354,0.00431918845369911,0.0031138643237289543,0.00836491626289349,0.09229245485662761,3,4,3,3,5,,,
32,2023-02-15 23:00:00,2023-02-16,2023-02-16 23:00:00,24332.6,24332.7,23526.6,24079.426171875,-0.0104047174623755,0.2,-1,0.0331282595026446,0.0317282595026446,False,False,True,True,0.008561730627498359,0.008364916262893483,0.006421464465501795,0.005114938459587881,0.00930367313568534,0.0336853191287799,4,5,5,5,5,,,
33,2023-02-16 23:00:00,2023-02-17,2023-02-17 23:00:00,23526.6,23526.6,24581.5,23851.402734375,0.0138057659999745,0.8,1,0.0448386082136815,0.0434386082136815,True,True,True,True,0.01144626366184091,0.009303673135685336,0.008157066857130222,0.00581584260723278,0.006058857290966721,0.043862431588612714,5,5,5,5,5,,,
34,2023-02-17 23:00:00,2023-02-18,2023-02-18 23:00:00,24581.5,24581.3,24636.9,24220.4546875,-0.014687684335781,0.0,-1,-0.0022618819997315,-0.0036618819997315,True,False,False,False,0.011467634874465204,0.006058857290966713,0.008206008650420354,0.004971780424122126,0.002523946862265535,0.002251191562368347,5,5,5,5,1,,,
35,2023-02-18 23:00:00,2023-02-19,2023-02-19 23:00:00,24636.9,24636.8,24265.9,24478.175,-0.006442571914486,0.2,-1,0.0150547148980386,0.0136547148980386,False,False,True,True,0.005001643875649948,0.0025239468622655094,0.006615380206341461,0.0020022202171482797,0.0050037689298619405,0.01517324643319797,2,1,5,2,4,,,
36,2023-02-19 23:00:00,2023-02-20,2023-02-20 23:00:00,24265.9,24265.9,24849.9,24539.6984375,0.0112832591208237,0.8,1,0.024066694414796,0.022666694414796,True,True,True,True,0.006909043829681439,0.0050037689298619275,0.004811048940699891,0.0032280306946559367,0.004355584344245333,0.02378165576081658,3,4,4,3,3,,,
37,2023-02-20 23:00:00,2023-02-21,2023-02-21 23:00:00,24849.9,24849.9,24443.4,24849.783203125,-4.700094366616447e-06,0.6,1,-0.016358214721186,-0.017758214721186,False,False,True,False,0.008343259597288797,0.004355584344245319,0.004094742836403037,0.002800395824199109,0.005491078126337573,0.0164934875590927,4,3,3,3,4,,,
38,2023-02-21 23:00:00,2023-02-22,2023-02-22 23:00:00,24443.4,24443.3,24171.3,24674.1609375,0.0094406235425512,0.8,1,-0.0111277937103418,-0.0125277937103418,False,True,False,False,0.009220450782897079,0.005491078126337563,0.004963708846588143,0.004216623928518033,0.0049862508249889454,0.01119426187685232,5,4,4,4,4,,,
39,2023-02-22 23:00:00,2023-02-23,2023-02-23 23:00:00,24171.3,24171.3,23928.8,24020.861328125,-0.006223855228101,0.6,1,-0.0100325592748424,-0.0114325592748424,False,False,True,False,0.00860438481449764,0.0049862508249889324,0.004952708429410898,0.0036435541301994925,0.006059547489727363,0.01008322455073526,4,4,4,4,5,,,
40,2023-02-23 23:00:00,2023-02-24,2023-02-24 23:00:00,23928.8,23928.7,23175.6,24290.608203125,0.0151201983854184,1.0,1,-0.0314726667140297,-0.0328726667140297,False,True,False,False,0.008848646818896065,0.0060595474897273535,0.005452523878262847,0.003958987139992394,0.004820748312892192,0.03198275331857454,5,5,4,4,4,,,
41,2023-02-24 23:00:00,2023-02-25,2023-02-25 23:00:00,23175.6,23175.5,23146.2,23050.08359375,-0.0054158859425429,0.4,-1,0.0012642661431252,-0.0001357338568747,False,False,True,True,0.008221469994304351,0.0048207483128921815,0.00525886264493424,0.002993864560378793,0.002735478303200801,0.0012693808939959537,4,4,4,3,2,,,
42,2023-02-25 23:00:00,2023-02-26,2023-02-26 23:00:00,23146.2,23146.2,23545.3,23385.963671875,0.0103586624100284,1.0,1,0.0172425711347865,0.0158425711347865,True,True,True,True,0.004772561658789211,0.0027354783032007834,0.0047053679235072145,0.001918810205650508,0.0035585526215178537,0.017095604982641226,2,2,3,2,3,,,
43,2023-02-26 23:00:00,2023-02-27,2023-02-27 23:00:00,23545.3,23545.2,23480.0,23602.001953125,0.0024082068661261,0.4,-1,0.0027691419057812,0.0013691419057812,False,True,False,True,0.005314577997873597,0.0035585526215178398,0.0038439859007377733,0.002726546300681809,0.004327581718623212,0.002777230213166545,2,3,2,3,3,,,
44,2023-02-27 23:00:00,2023-02-28,2023-02-28 23:00:00,23480.0,23480.0,23129.6,23359.9734375,-0.0051118638202725,0.2,-1,0.0149233390119251,0.0135233390119251,False,False,True,True,0.00710853208404315,0.0043275817186232005,0.0035688507567132664,0.0029262544317605332,0.0032810531582852416,0.015035812424232842,3,3,2,3,2,,,
45,2023-02-28 23:00:00,2023-03-01,2023-03-01 23:00:00,23129.6,23129.7,23619.8,23353.928125,0.0096987464115247,1.0,1,0.0211892069503711,0.0197892069503711,True,True,True,True,0.005830011471591962,0.0032810531582852264,0.003736972952306378,0.0024077832959981857,0.005367082111410082,0.02097216079719658,2,2,2,2,4,,,
