p_rule,filters,side,leverage,train_trades,train_accuracy,train_avg_net,train_total_return,train_max_drawdown,val_trades,val_accuracy,val_avg_net,val_total_return,val_max_drawdown,test_trades,test_accuracy,test_avg_net,test_total_return,test_max_drawdown
long_p100,all,1,1.0,66,0.5606060606060606,-0.00017322076436643974,-0.032888868254031145,-0.2098025374122886,29,0.7586206896551724,0.0087104682066672,0.27582941494628654,-0.04017736701891883,33,0.6060606060606061,0.010047934141710381,0.3727158974390845,-0.04828264587623432
long_p100,all,1,2.0,66,0.5606060606060606,-0.0003464415287328795,-0.10531289846658987,-0.3846436398891109,29,0.7586206896551724,0.0174209364133344,0.6000668924675787,-0.08004159641927355,33,0.6060606060606061,0.020095868283420762,0.8338877664141155,-0.09581602269772405
long_p100,all,1,3.0,66,0.5606060606060606,-0.0005196622930993203,-0.2092765421854812,-0.5287590119571257,29,0.7586206896551724,0.026131404620001606,0.9747484284943768,-0.11957119389261661,33,0.6060606060606061,0.030143802425131143,1.391471207426369,-0.1425318579996716
long_p100,all,1,5.0,66,0.5606060606060606,-0.0008661038218322092,-0.4670944070519196,-0.7402115560016231,29,0.7586206896551724,0.04355234103333601,1.875791124328582,-0.19754190797853222,33,0.6060606060606061,0.05023967070855189,2.8149964946635433,-0.23325606444083957
long_p100,all,1,10.0,66,0.5606060606060606,-0.0017322076436644184,-0.9395500934860503,-0.976135425744061,29,0.7586206896551724,0.08710468206667202,4.780675014407801,-0.38516140935233334,33,0.6060606060606061,0.10047934141710378,7.983136895982215,-0.44168316623687265
long_p100,high_atr,1,1.0,18,0.7777777777777778,0.013377401842241102,0.26194987288934013,-0.04418903912066019,8,0.75,0.01982272559158979,0.16347973993440967,-0.03731352550729661,17,0.6470588235294118,0.013488497410426103,0.2443202573821015,-0.037583290466633446
long_p100,high_atr,1,2.0,18,0.7777777777777778,0.026754803684482204,0.5687326210930288,-0.08737986173836354,8,0.75,0.03964545118317958,0.3354575714643606,-0.07462705101459333,17,0.6470588235294118,0.026976994820852206,0.5187341957519971,-0.07445061366697736
long_p100,high_atr,1,3.0,18,0.7777777777777778,0.040132205526723315,0.9239474270474701,-0.1295724678531095,8,0.75,0.05946817677476936,0.513682235261328,-0.11194057652188993,17,0.6470588235294118,0.040465492231278315,0.8228958691563035,-0.11060196960103152
long_p100,high_atr,1,5.0,18,0.7777777777777778,0.06688700921120552,1.7923089519762079,-0.21096303057373056,8,0.75,0.09911362795794894,0.8778798002716401,-0.18656762753648326,17,0.6470588235294118,0.06744248705213052,1.5159090154666774,-0.18075677967027148
long_p100,high_atr,1,10.0,18,0.7777777777777778,0.13377401842241105,4.96913924803675,-0.3969706485735348,8,0.75,0.19822725591589788,1.6689757607587352,-0.3731352550729665,17,0.6470588235294118,0.13488497410426104,3.616622177731686,-0.34361437768330294
long_p100,low_atr,1,1.0,10,0.4,-0.006158275994603821,-0.0625114641019644,-0.08115981046210863,7,0.8571428571428571,0.003737084655408456,0.025977091854619383,-0.01782010243906018,1,1.0,0.021143217786170412,0.021143217786170343,0.0
long_p100,low_atr,1,2.0,10,0.4,-0.012316551989207641,-0.12659126880923544,-0.1593439788011709,7,0.8571428571428571,0.007474169310816912,0.05155829575747761,-0.03564020487812025,1,1.0,0.042286435572340825,0.04228643557234091,0.0
long_p100,low_atr,1,3.0,10,0.4,-0.018474827983811472,-0.19180581472834268,-0.23459776832208556,7,0.8571428571428571,0.01121125396622537,0.07669630663857552,-0.05346030731718032,1,1.0,0.06342965335851124,0.06342965335851125,0.0
long_p100,low_atr,1,5.0,10,0.4,-0.030791379973019117,-0.32392167734844457,-0.3764952641290734,7,0.8571428571428571,0.018685423277042278,0.1254469696479017,-0.08910051219530046,1,1.0,0.10571608893085205,0.10571608893085216,0.0
long_p100,low_atr,1,10.0,10,0.4,-0.061582759946038235,-0.6450380462230146,-0.6831258056719491,7,0.8571428571428571,0.037370846554084555,0.23600148960551848,-0.17820102439060115,1,1.0,0.2114321778617041,0.2114321778617041,0.0
long_p100,high_vol24,1,1.0,24,0.7083333333333334,0.009733010784856352,0.25069377662206893,-0.05894291688399034,7,0.8571428571428571,0.019844849074441052,0.14303730085019084,-0.03731352550729661,16,0.5625,0.008169165192381568,0.12982200552938727,-0.037583290466633335
long_p100,high_vol24,1,2.0,24,0.7083333333333334,0.019466021569712704,0.5354171972574342,-0.11555423201735293,7,0.8571428571428571,0.039689698148882104,0.29378466028906347,-0.07462705101459333,16,0.5625,0.016338330384763136,0.256913282279563,-0.07445061366697758
long_p100,high_vol24,1,3.0,24,0.7083333333333334,0.029199032354569054,0.8529780449588225,-0.1698801707465275,7,0.8571428571428571,0.05953454722332315,0.4512911194461755,-0.11194057652188993,16,0.5625,0.0245074955771447,0.3798381691318631,-0.11060196960103164
long_p100,high_vol24,1,5.0,24,0.7083333333333334,0.04866505392428175,1.5748325624751587,-0.2718608203780746,7,0.8571428571428571,0.09922424537220524,0.7817313019450742,-0.18656762753648326,16,0.5625,0.040845825961907826,0.6075920841447324,-0.18075677967027148
long_p100,high_vol24,1,10.0,24,0.7083333333333334,0.0973301078485635,3.580620915751222,-0.49005413163446443,7,0.8571428571428571,0.19844849074441048,1.616056897225346,-0.3731352550729665,16,0.5625,0.08169165192381565,1.0134010593853948,-0.34361437768330305
long_p100,low_vol24,1,1.0,13,0.46153846153846156,-0.0016922451047291201,-0.02523933322312588,-0.059356955131350864,8,0.875,0.003208241277108114,0.025470605570868665,-0.01782010243906018,1,1.0,0.021143217786170412,0.021143217786170343,0.0
long_p100,low_vol24,1,2.0,13,0.46153846153846156,-0.0033844902094582402,-0.056853385094917996,-0.11871391026270184,8,0.875,0.006416482554216228,0.05052006623443317,-0.03564020487812025,1,1.0,0.042286435572340825,0.04228643557234091,0.0
long_p100,low_vol24,1,3.0,13,0.46153846153846156,-0.005076735314187365,-0.09462911772815652,-0.1780708653940527,8,0.875,0.009624723831324341,0.07510173328384773,-0.05346030731718032,1,1.0,0.06342965335851124,0.06342965335851125,0.0
long_p100,low_vol24,1,5.0,13,0.46153846153846156,-0.008461225523645614,-0.1874610781519419,-0.29678477565675454,8,0.875,0.016041206385540564,0.12266901555057785,-0.08910051219530046,1,1.0,0.10571608893085205,0.10571608893085216,0.0
long_p100,low_vol24,1,10.0,13,0.46153846153846156,-0.016922451047291228,-0.49971092349417257,-0.5958299033435157,8,0.875,0.03208241277108113,0.2298998153464069,-0.17820102439060115,1,1.0,0.2114321778617041,0.2114321778617041,0.0
