asset,signal,filter,side,leverage,stop,take,train_trades,train_win_rate,train_avg_net,train_total,train_max_dd,validation_trades,validation_win_rate,validation_avg_net,validation_total,validation_max_dd,test_trades,test_win_rate,test_avg_net,test_total,test_max_dd
btc_1h,long_p100,high_vol24,1,1.0,,,24,0.6666666666666666,0.009733010784856352,0.25069377662206893,-0.05894291688399034,7,0.8571428571428571,0.019844849074441052,0.14303730085019084,-0.03731352550729661,16,0.5625,0.008169165192381568,0.12982200552938727,-0.037583290466633335
btc_1h,long_p100,high_vol24,1,1.0,0.1,,24,0.6666666666666666,0.009733010784856352,0.25069377662206893,-0.05894291688399034,7,0.8571428571428571,0.019844849074441052,0.14303730085019084,-0.03731352550729661,16,0.5625,0.008169165192381568,0.12982200552938727,-0.037583290466633335
btc_1h,long_p100,high_vol24,1,1.0,0.1,0.1,24,0.6666666666666666,0.009733010784856352,0.25069377662206893,-0.05894291688399034,7,0.8571428571428571,0.019844849074441052,0.14303730085019084,-0.03731352550729661,16,0.5625,0.006787711402621731,0.107538898896409,-0.037583290466633335
btc_1h,long_p100,high_vol24,1,1.0,0.1,0.15,24,0.6666666666666666,0.009733010784856352,0.25069377662206893,-0.05894291688399034,7,0.8571428571428571,0.019844849074441052,0.14303730085019084,-0.03731352550729661,16,0.5625,0.008169165192381568,0.12982200552938727,-0.037583290466633335
btc_1h,long_p100,high_vol24,1,1.0,0.1,0.3,24,0.6666666666666666,0.009733010784856352,0.25069377662206893,-0.05894291688399034,7,0.8571428571428571,0.019844849074441052,0.14303730085019084,-0.03731352550729661,16,0.5625,0.008169165192381568,0.12982200552938727,-0.037583290466633335
btc_1h,long_p100,high_vol24,1,1.0,0.1,0.6,24,0.6666666666666666,0.009733010784856352,0.25069377662206893,-0.05894291688399034,7,0.8571428571428571,0.019844849074441052,0.14303730085019084,-0.03731352550729661,16,0.5625,0.008169165192381568,0.12982200552938727,-0.037583290466633335
btc_1h,long_p100,high_vol24,1,1.0,0.1,1.2,24,0.6666666666666666,0.009733010784856352,0.25069377662206893,-0.05894291688399034,7,0.8571428571428571,0.019844849074441052,0.14303730085019084,-0.03731352550729661,16,0.5625,0.008169165192381568,0.12982200552938727,-0.037583290466633335
btc_1h,long_p100,high_vol24,1,1.0,0.15,,24,0.6666666666666666,0.009733010784856352,0.25069377662206893,-0.05894291688399034,7,0.8571428571428571,0.019844849074441052,0.14303730085019084,-0.03731352550729661,16,0.5625,0.008169165192381568,0.12982200552938727,-0.037583290466633335
btc_1h,long_p100,high_vol24,1,1.0,0.15,0.1,24,0.6666666666666666,0.009733010784856352,0.25069377662206893,-0.05894291688399034,7,0.8571428571428571,0.019844849074441052,0.14303730085019084,-0.03731352550729661,16,0.5625,0.006787711402621731,0.107538898896409,-0.037583290466633335
btc_1h,long_p100,high_vol24,1,1.0,0.15,0.15,24,0.6666666666666666,0.009733010784856352,0.25069377662206893,-0.05894291688399034,7,0.8571428571428571,0.019844849074441052,0.14303730085019084,-0.03731352550729661,16,0.5625,0.008169165192381568,0.12982200552938727,-0.037583290466633335
btc_1h,long_p100,high_vol24,1,1.0,0.15,0.3,24,0.6666666666666666,0.009733010784856352,0.25069377662206893,-0.05894291688399034,7,0.8571428571428571,0.019844849074441052,0.14303730085019084,-0.03731352550729661,16,0.5625,0.008169165192381568,0.12982200552938727,-0.037583290466633335
btc_1h,long_p100,high_vol24,1,1.0,0.15,0.6,24,0.6666666666666666,0.009733010784856352,0.25069377662206893,-0.05894291688399034,7,0.8571428571428571,0.019844849074441052,0.14303730085019084,-0.03731352550729661,16,0.5625,0.008169165192381568,0.12982200552938727,-0.037583290466633335
btc_1h,long_p100,high_vol24,1,1.0,0.15,1.2,24,0.6666666666666666,0.009733010784856352,0.25069377662206893,-0.05894291688399034,7,0.8571428571428571,0.019844849074441052,0.14303730085019084,-0.03731352550729661,16,0.5625,0.008169165192381568,0.12982200552938727,-0.037583290466633335
btc_1h,long_p100,high_vol24,1,1.0,0.3,,24,0.6666666666666666,0.009733010784856352,0.25069377662206893,-0.05894291688399034,7,0.8571428571428571,0.019844849074441052,0.14303730085019084,-0.03731352550729661,16,0.5625,0.008169165192381568,0.12982200552938727,-0.037583290466633335
btc_1h,long_p100,high_vol24,1,1.0,0.3,0.1,24,0.6666666666666666,0.009733010784856352,0.25069377662206893,-0.05894291688399034,7,0.8571428571428571,0.019844849074441052,0.14303730085019084,-0.03731352550729661,16,0.5625,0.006787711402621731,0.107538898896409,-0.037583290466633335
btc_1h,long_p100,high_vol24,1,1.0,0.3,0.15,24,0.6666666666666666,0.009733010784856352,0.25069377662206893,-0.05894291688399034,7,0.8571428571428571,0.019844849074441052,0.14303730085019084,-0.03731352550729661,16,0.5625,0.008169165192381568,0.12982200552938727,-0.037583290466633335
btc_1h,long_p100,high_vol24,1,1.0,0.3,0.3,24,0.6666666666666666,0.009733010784856352,0.25069377662206893,-0.05894291688399034,7,0.8571428571428571,0.019844849074441052,0.14303730085019084,-0.03731352550729661,16,0.5625,0.008169165192381568,0.12982200552938727,-0.037583290466633335
btc_1h,long_p100,high_vol24,1,1.0,0.3,0.6,24,0.6666666666666666,0.009733010784856352,0.25069377662206893,-0.05894291688399034,7,0.8571428571428571,0.019844849074441052,0.14303730085019084,-0.03731352550729661,16,0.5625,0.008169165192381568,0.12982200552938727,-0.037583290466633335
btc_1h,long_p100,high_vol24,1,1.0,0.3,1.2,24,0.6666666666666666,0.009733010784856352,0.25069377662206893,-0.05894291688399034,7,0.8571428571428571,0.019844849074441052,0.14303730085019084,-0.03731352550729661,16,0.5625,0.008169165192381568,0.12982200552938727,-0.037583290466633335
btc_1h,long_p100,high_vol24,1,1.0,0.6,,24,0.6666666666666666,0.009733010784856352,0.25069377662206893,-0.05894291688399034,7,0.8571428571428571,0.019844849074441052,0.14303730085019084,-0.03731352550729661,16,0.5625,0.008169165192381568,0.12982200552938727,-0.037583290466633335
btc_1h,long_p100,high_vol24,1,1.0,0.6,0.1,24,0.6666666666666666,0.009733010784856352,0.25069377662206893,-0.05894291688399034,7,0.8571428571428571,0.019844849074441052,0.14303730085019084,-0.03731352550729661,16,0.5625,0.006787711402621731,0.107538898896409,-0.037583290466633335
btc_1h,long_p100,high_vol24,1,1.0,0.6,0.15,24,0.6666666666666666,0.009733010784856352,0.25069377662206893,-0.05894291688399034,7,0.8571428571428571,0.019844849074441052,0.14303730085019084,-0.03731352550729661,16,0.5625,0.008169165192381568,0.12982200552938727,-0.037583290466633335
btc_1h,long_p100,high_vol24,1,1.0,0.6,0.3,24,0.6666666666666666,0.009733010784856352,0.25069377662206893,-0.05894291688399034,7,0.8571428571428571,0.019844849074441052,0.14303730085019084,-0.03731352550729661,16,0.5625,0.008169165192381568,0.12982200552938727,-0.037583290466633335
btc_1h,long_p100,high_vol24,1,1.0,0.6,0.6,24,0.6666666666666666,0.009733010784856352,0.25069377662206893,-0.05894291688399034,7,0.8571428571428571,0.019844849074441052,0.14303730085019084,-0.03731352550729661,16,0.5625,0.008169165192381568,0.12982200552938727,-0.037583290466633335
btc_1h,long_p100,high_vol24,1,1.0,0.6,1.2,24,0.6666666666666666,0.009733010784856352,0.25069377662206893,-0.05894291688399034,7,0.8571428571428571,0.019844849074441052,0.14303730085019084,-0.03731352550729661,16,0.5625,0.008169165192381568,0.12982200552938727,-0.037583290466633335
btc_1h,long_p100,high_vol24,1,2.0,,,24,0.6666666666666666,0.019466021569712704,0.5354171972574342,-0.11555423201735293,7,0.8571428571428571,0.039689698148882104,0.29378466028906347,-0.07462705101459333,16,0.5625,0.016338330384763136,0.256913282279563,-0.07445061366697758
btc_1h,long_p100,high_vol24,1,2.0,0.1,,24,0.625,0.014303746278104589,0.34660021340306635,-0.1197886741537102,7,0.8571428571428571,0.039689698148882104,0.29378466028906347,-0.07462705101459333,16,0.5,-0.008898082357490643,-0.14781969897464542,-0.21047768778226794
btc_1h,long_p100,high_vol24,1,2.0,0.1,0.1,24,0.625,0.011869556653790718,0.2817128221605987,-0.11555423201735282,7,0.8571428571428571,0.032287228147146484,0.23626985893248786,-0.07462705101459333,16,0.5,-0.008898082357490643,-0.14781969897464542,-0.21047768778226794
btc_1h,long_p100,high_vol24,1,2.0,0.1,0.15,24,0.625,0.012617379209227534,0.30071156993758286,-0.1197886741537103,7,0.8571428571428571,0.037564010525540543,0.2772184364753987,-0.07462705101459333,16,0.5,-0.008898082357490643,-0.14781969897464542,-0.21047768778226794
btc_1h,long_p100,high_vol24,1,2.0,0.1,0.3,24,0.625,0.014303746278104589,0.34660021340306635,-0.1197886741537102,7,0.8571428571428571,0.039689698148882104,0.29378466028906347,-0.07462705101459333,16,0.5,-0.008898082357490643,-0.14781969897464542,-0.21047768778226794
btc_1h,long_p100,high_vol24,1,2.0,0.1,0.6,24,0.625,0.014303746278104589,0.34660021340306635,-0.1197886741537102,7,0.8571428571428571,0.039689698148882104,0.29378466028906347,-0.07462705101459333,16,0.5,-0.008898082357490643,-0.14781969897464542,-0.21047768778226794
btc_1h,long_p100,high_vol24,1,2.0,0.1,1.2,24,0.625,0.014303746278104589,0.34660021340306635,-0.1197886741537102,7,0.8571428571428571,0.039689698148882104,0.29378466028906347,-0.07462705101459333,16,0.5,-0.008898082357490643,-0.14781969897464542,-0.21047768778226794
btc_1h,long_p100,high_vol24,1,2.0,0.15,,24,0.6666666666666666,0.019466021569712704,0.5354171972574342,-0.11555423201735293,7,0.8571428571428571,0.039689698148882104,0.29378466028906347,-0.07462705101459333,16,0.5625,0.016338330384763136,0.256913282279563,-0.07445061366697758
btc_1h,long_p100,high_vol24,1,2.0,0.15,0.1,24,0.6666666666666666,0.017031831945398833,0.4614314549359788,-0.11555423201735282,7,0.8571428571428571,0.032287228147146484,0.23626985893248786,-0.07462705101459333,16,0.5625,0.007325422805243461,0.11090543644294293,-0.07445061366697758
