asset,signal_number,signal_timestamp,entry_timestamp,exit_timestamp,current_close,entry_open,exit_close,mean_final_pred_close,forecast_return,upside_probability,position,gross_return,net_return,ret_24,ret_72,ret_168,ret_288,atr_24_pct,atr_72_pct,vol_24,vol_72,volume_ratio_24,rsi_14,above_sma_72,above_sma_168,above_sma_288,atr_24_pct_pct,atr_72_pct_pct,vol_24_pct,vol_72_pct,volume_ratio_24_pct,rsi_14_pct,path_max_up,path_max_down,split
sol_5m,1,2026-01-27 05:55:00,2026-01-27 06:00:00,2026-01-27 07:55:00,124.42,124.42,124.46,124.77646484375,0.0028650124075711,0.8,1,0.0003214917215881,-0.0010785082784118,-0.00024106066693452277,0.00201336876862368,0.007857432158768773,0.01633719980395365,0.00153713229384343,0.0017001107360374412,0.00082739345618053,0.0011195226612687032,1.0256933977074272,52.52525252525239,True,True,True,0.08035714285714286,0.0,0.008955223880597015,0.006968641114982578,0.6696428571428571,0.4985507246376812,0.002089696190323176,-0.003857900659058111,train
sol_5m,2,2026-01-27 07:55:00,2026-01-27 08:00:00,2026-01-27 09:55:00,124.46,124.46,123.69,124.48249053955078,0.0001807049618414,0.6,1,-0.0061867266591675,-0.0075867266591675,0.00032149172158812966,0.001448342452526452,0.0019320560296247624,0.013105413105413133,0.0013826396700412388,0.0015578409841626934,0.000742422272243092,0.0010202194216859756,0.42200398010787527,74.35897435897404,False,True,True,0.027777777777777776,0.0,0.016713091922005572,0.003215434083601286,0.06944444444444445,0.9561643835616438,0.0022497187851517886,-0.007632974449622298,train
sol_5m,3,2026-01-27 09:55:00,2026-01-27 10:00:00,2026-01-27 11:55:00,123.69,123.69,124.08,123.26344757080078,-0.0034485603460199,0.2,-1,-0.0031530439000728,-0.0045530439000728,-0.00618672665916753,-0.006106870229007688,-0.004507042253521165,0.014933946008041321,0.0014586196674481755,0.0014653569407389359,0.0007726455481781578,0.0007804261076042354,0.417937458197082,34.57943925233623,False,False,False,0.1589041095890411,0.02976190476190476,0.09041095890410959,0.014925373134328358,0.06027397260273973,0.14246575342465753,0.004284905812919515,-0.0010510146333575499,train
sol_5m,4,2026-01-27 11:55:00,2026-01-27 12:00:00,2026-01-27 13:55:00,124.08,124.06,123.12,124.2200485229492,0.0011286953816023,0.6,1,-0.0075769788811864,-0.0089769788811864,0.0031530439000728716,-0.002732679633499435,-0.0030531897798489194,0.013228809407153319,0.0012727004083387037,0.0013712031664159243,0.0007854074497767689,0.0007738128215607331,0.8435929912909205,65.76576576576531,True,False,True,0.019178082191780823,0.016666666666666666,0.14794520547945206,0.052924791086350974,0.4657534246575342,0.8575342465753425,0.0017733354828308734,-0.00814122198936007,train
sol_5m,5,2026-01-27 13:55:00,2026-01-27 14:00:00,2026-01-27 15:55:00,123.12,123.12,124.94,123.0495391845703,-0.0005722938225283,0.2,-1,-0.0147823261858348,-0.0161823261858348,-0.007736943907156624,-0.010766511328940909,-0.008456148828219323,0.0003249918752030734,0.0014755252328351788,0.0014078405891271343,0.0009325146883880058,0.0008460570890800565,0.5478060801685191,23.13432835820906,False,False,False,0.29041095890410956,0.12054794520547946,0.27945205479452057,0.1726027397260274,0.15616438356164383,0.043835616438356165,0.01518843404808301,0.0,train
sol_5m,6,2026-01-27 15:55:00,2026-01-27 16:00:00,2026-01-27 17:55:00,124.94,124.94,123.96,124.72744293212892,-0.0017012731540827,0.2,-1,0.0078437650072035,0.0064437650072035,0.01478232618583486,0.010105909936130697,0.005310588992597287,0.012069663831510757,0.0035083506749906514,0.002075440655959302,0.0018140743922098817,0.0013020709923027222,1.2495800231359406,75.61983471074367,True,True,True,0.8821917808219178,0.5726027397260274,0.8246575342465754,0.4684931506849315,0.7287671232876712,0.9863013698630136,0.014406915319353342,-0.011765647510805222,train
sol_5m,7,2026-01-27 17:55:00,2026-01-27 18:00:00,2026-01-27 19:55:00,123.96,123.98,125.79,123.51539459228516,-0.0035866844765637,0.4,-1,-0.0145991288917568,-0.0159991288917568,-0.007843765007203518,-0.0009671179883946612,-0.003937324226597094,-0.002093060698760252,0.004460444229321267,0.0031540192176687733,0.0029557652785204996,0.002091860261782214,0.5120682177412756,19.70074812967566,False,False,False,0.9698630136986301,0.8657534246575342,0.9424657534246575,0.8410958904109589,0.0958904109589041,0.030136986301369864,0.018470721084045794,-0.0018551379254718725,train
sol_5m,8,2026-01-27 19:55:00,2026-01-27 20:00:00,2026-01-27 21:55:00,125.79,125.79,127.0,125.75018310546876,-0.0003165346572164,0.4,-1,-0.0096192066141982,-0.0110192066141982,0.014762826718296429,0.02168615984405453,0.011011091464394829,0.01239436619718326,0.0028254763229721446,0.003568557825652972,0.0016101270460114005,0.0022214378215462834,0.4059490620306472,63.51351351351363,True,True,True,0.6547945205479452,0.936986301369863,0.6986301369863014,0.8547945205479452,0.049315068493150684,0.7232876712328767,0.01589951506479048,-0.0010334684792114857,train
sol_5m,9,2026-01-27 21:55:00,2026-01-27 22:00:00,2026-01-27 23:55:00,127.0,127.02,127.11,126.74049224853516,-0.0020433681217704,0.6,1,0.0007085498346717,-0.0006914501653282,0.009619206614198239,0.016487914198815457,0.020408163265306145,0.020408163265306145,0.003015091863517055,0.0033891076115485463,0.0018010116185157657,0.0022101199033497023,0.4731951940703675,42.2619047619047,True,True,True,0.7013698630136986,0.810958904109589,0.7287671232876712,0.7972602739726027,0.10410958904109589,0.2876712328767123,0.00582585419618975,-0.0007085498346716124,train
sol_5m,10,2026-01-27 23:55:00,2026-01-28 00:00:00,2026-01-28 01:55:00,127.11,127.12,127.01,127.41121520996094,0.0023697207927065,0.4,-1,0.0008653241032096,-0.0005346758967903,0.0008661417322834986,0.02541142303969024,0.02764976958525356,0.023677216719014238,0.002074974431594686,0.0026278638799290184,0.0010844035593254736,0.0015259744871623936,0.8482864409520365,33.07692307692331,True,True,True,0.4712328767123288,0.5863013698630137,0.3150684931506849,0.5698630136986301,0.4684931506849315,0.15616438356164383,0.002753303964757592,-0.004405286343612369,train
