asset,signal_number,signal_timestamp,entry_timestamp,exit_timestamp,current_close,entry_open,exit_close,mean_final_pred_close,forecast_return,upside_probability,position,gross_return,net_return
zec_5m,1,2026-01-27 05:55:00,2026-01-27 06:00:00,2026-01-27 07:55:00,371.68,371.68,382.74,371.9476684570312,0.0007201583540445089,0.4,-1,-0.02975678002582871,-0.03115678002582871
zec_5m,2,2026-01-27 07:55:00,2026-01-27 08:00:00,2026-01-27 09:55:00,382.74,382.74,378.67,382.5321472167969,-0.0005430652223523014,0.4,-1,0.010633850655797694,0.009233850655797694
zec_5m,3,2026-01-27 09:55:00,2026-01-27 10:00:00,2026-01-27 11:55:00,378.67,378.67,379.55,379.91608276367185,0.003290682556505287,0.6,1,0.002323923204901268,0.0009239232049012682
zec_5m,4,2026-01-27 11:55:00,2026-01-27 12:00:00,2026-01-27 13:55:00,379.55,379.54,379.06,378.89092407226565,-0.0017364666782621273,0.6,1,-0.0012646888338515572,-0.0026646888338515574
zec_5m,5,2026-01-27 13:55:00,2026-01-27 14:00:00,2026-01-27 15:55:00,379.06,379.17,383.33,381.65302734375,0.0068406778445364805,0.8,1,0.010971332120156996,0.009571332120156996
zec_5m,6,2026-01-27 15:55:00,2026-01-27 16:00:00,2026-01-27 17:55:00,383.33,383.35,385.42,385.6726867675781,0.006111409927681488,0.8,1,0.005399765227598774,0.003999765227598774
zec_5m,7,2026-01-27 17:55:00,2026-01-27 18:00:00,2026-01-27 19:55:00,385.42,385.39,391.68,384.93585205078125,-0.0012561567879683766,0.4,-1,-0.016321129245699284,-0.017721129245699282
zec_5m,8,2026-01-27 19:55:00,2026-01-27 20:00:00,2026-01-27 21:55:00,391.68,391.68,399.34,390.69110107421875,-0.0025247623717862934,0.4,-1,-0.019556781045751537,-0.020956781045751535
zec_5m,9,2026-01-27 21:55:00,2026-01-27 22:00:00,2026-01-27 23:55:00,399.34,399.28,399.83,394.055615234375,-0.01323279602750782,0.0,-1,-0.0013774794630334597,-0.00277747946303346
zec_5m,10,2026-01-27 23:55:00,2026-01-28 00:00:00,2026-01-28 01:55:00,399.83,399.82,398.08,398.85674438476565,-0.0024341735618496952,0.4,-1,0.004351958381271559,0.0029519583812715588
zec_5m,11,2026-01-28 01:55:00,2026-01-28 02:00:00,2026-01-28 03:55:00,398.08,398.15,395.04,394.4405151367188,-0.00914259662198864,0.0,-1,0.007811126459876805,0.006411126459876805
zec_5m,12,2026-01-28 03:55:00,2026-01-28 04:00:00,2026-01-28 05:55:00,395.04,395.06,390.79,398.21624145507815,0.008040303399853444,0.6,1,-0.010808484787120931,-0.012208484787120931
zec_5m,13,2026-01-28 05:55:00,2026-01-28 06:00:00,2026-01-28 07:55:00,390.79,390.79,390.79,395.5640502929688,0.012216408539033007,1.0,1,0.0,-0.0014
zec_5m,14,2026-01-28 07:55:00,2026-01-28 08:00:00,2026-01-28 09:55:00,390.79,390.72,395.0,389.6677307128906,-0.00287179632823098,0.4,-1,-0.010954135954135857,-0.012354135954135858
zec_5m,15,2026-01-28 09:55:00,2026-01-28 10:00:00,2026-01-28 11:55:00,395.0,395.02,397.45,394.5393493652344,-0.00116620413864712,0.6,1,0.006151587261404412,0.004751587261404412
zec_5m,16,2026-01-28 11:55:00,2026-01-28 12:00:00,2026-01-28 13:55:00,397.45,397.39,385.27,396.4192626953125,-0.0025933760339350797,0.6,1,-0.030499006014242935,-0.031899006014242934
zec_5m,17,2026-01-28 13:55:00,2026-01-28 14:00:00,2026-01-28 15:55:00,385.27,385.27,379.39,384.9818603515625,-0.0007478901768564139,0.2,-1,0.015262024035092248,0.013862024035092247
zec_5m,18,2026-01-28 15:55:00,2026-01-28 16:00:00,2026-01-28 17:55:00,379.39,379.33,377.39,378.11216430664064,-0.0033681322474481633,0.6,1,-0.005114280441831598,-0.006514280441831598
zec_5m,19,2026-01-28 17:55:00,2026-01-28 18:00:00,2026-01-28 19:55:00,377.39,377.39,378.65,377.24708251953126,-0.00037869970181700905,0.4,-1,-0.003338721216778362,-0.004738721216778362
zec_5m,20,2026-01-28 19:55:00,2026-01-28 20:00:00,2026-01-28 21:55:00,378.65,378.57,375.14,376.6765197753906,-0.005211884919079268,0.2,-1,0.009060411548722835,0.007660411548722835
zec_5m,21,2026-01-28 21:55:00,2026-01-28 22:00:00,2026-01-28 23:55:00,375.14,375.14,371.06,375.36805419921876,0.0006079175753552102,0.6,1,-0.010875939649197641,-0.012275939649197641
zec_5m,22,2026-01-28 23:55:00,2026-01-29 00:00:00,2026-01-29 01:55:00,371.06,371.06,368.62,369.88499145507814,-0.003166626812164841,0.4,-1,0.006575755942435202,0.005175755942435202
zec_5m,23,2026-01-29 01:55:00,2026-01-29 02:00:00,2026-01-29 03:55:00,368.62,368.6,364.02,367.8155090332031,-0.0021824398209453477,0.4,-1,0.012425393380358196,0.011025393380358196
zec_5m,24,2026-01-29 03:55:00,2026-01-29 04:00:00,2026-01-29 05:55:00,364.02,364.01,363.58,365.16932983398436,0.003157326064459065,0.8,1,-0.0011812862284003023,-0.0025812862284003025
zec_5m,25,2026-01-29 05:55:00,2026-01-29 06:00:00,2026-01-29 07:55:00,363.58,363.62,365.47,363.9479187011719,0.001011933277880761,0.6,1,0.005087728947802628,0.0036877289478026275
zec_5m,26,2026-01-29 07:55:00,2026-01-29 08:00:00,2026-01-29 09:55:00,365.47,365.57,365.37,364.8019714355469,-0.0018278615603281923,0.4,-1,0.0005470908444347167,-0.0008529091555652833
zec_5m,27,2026-01-29 09:55:00,2026-01-29 10:00:00,2026-01-29 11:55:00,365.37,365.39,361.78,363.08656616210936,-0.006249647858036056,0.2,-1,0.009879854402145671,0.008479854402145671
zec_5m,28,2026-01-29 11:55:00,2026-01-29 12:00:00,2026-01-29 13:55:00,361.78,361.83,364.4,361.11016235351565,-0.0018515054632217253,0.4,-1,-0.0071027830749246235,-0.008502783074924624
zec_5m,29,2026-01-29 13:55:00,2026-01-29 14:00:00,2026-01-29 15:55:00,364.4,364.42,354.68,361.55780029296875,-0.007799669887571992,0.4,-1,0.0267274024477252,0.025327402447725203
zec_5m,30,2026-01-29 15:55:00,2026-01-29 16:00:00,2026-01-29 17:55:00,354.68,354.75,358.66,355.92848510742186,0.0035200324445186617,0.8,1,0.011021846370683708,0.009621846370683708
zec_5m,31,2026-01-29 17:55:00,2026-01-29 18:00:00,2026-01-29 19:55:00,358.66,358.64,346.97,357.1147094726563,-0.004308510922165221,0.4,-1,0.03253959402186024,0.031139594021860242
zec_5m,32,2026-01-29 19:55:00,2026-01-29 20:00:00,2026-01-29 21:55:00,346.97,347.01,351.39,349.22321166992185,0.006493966826877973,0.8,1,0.012622114636465787,0.011222114636465786
zec_5m,33,2026-01-29 21:55:00,2026-01-29 22:00:00,2026-01-29 23:55:00,351.39,351.4,353.49,351.25664672851565,-0.0003795021812924793,0.4,-1,-0.005947638019351276,-0.007347638019351276
zec_5m,34,2026-01-29 23:55:00,2026-01-30 00:00:00,2026-01-30 01:55:00,353.49,353.54,340.86,349.9353881835938,-0.010055763434344023,0.0,-1,0.03586581433501157,0.03446581433501157
zec_5m,35,2026-01-30 01:55:00,2026-01-30 02:00:00,2026-01-30 03:55:00,340.86,340.87,334.91,339.6178894042969,-0.0036440491571411602,0.4,-1,0.017484671575673905,0.016084671575673906
zec_5m,36,2026-01-30 03:55:00,2026-01-30 04:00:00,2026-01-30 05:55:00,334.91,334.88,338.14,329.8089294433594,-0.015231168244127246,0.2,-1,-0.009734830387004179,-0.011134830387004179
zec_5m,37,2026-01-30 05:55:00,2026-01-30 06:00:00,2026-01-30 07:55:00,338.14,338.15,335.96,337.2063842773438,-0.002761033071083685,0.4,-1,0.006476415791808354,0.005076415791808354
zec_5m,38,2026-01-30 07:55:00,2026-01-30 08:00:00,2026-01-30 09:55:00,335.96,336.05,333.41,335.4610900878906,-0.001485027717910925,0.4,-1,0.007855973813420625,0.0064559738134206245
zec_5m,39,2026-01-30 09:55:00,2026-01-30 10:00:00,2026-01-30 11:55:00,333.41,333.42,339.14,330.87494506835935,-0.007603416009239838,0.0,-1,-0.017155539559714494,-0.018555539559714493
zec_5m,40,2026-01-30 11:55:00,2026-01-30 12:00:00,2026-01-30 13:55:00,339.14,339.1,331.12,335.4580383300781,-0.010856760246275465,0.4,-1,0.023532881156001273,0.022132881156001274
zec_5m,41,2026-01-30 13:55:00,2026-01-30 14:00:00,2026-01-30 15:55:00,331.12,331.07,336.35,327.03086547851564,-0.012349403604386234,0.0,-1,-0.015948288881505457,-0.017348288881505455
zec_5m,42,2026-01-30 15:55:00,2026-01-30 16:00:00,2026-01-30 17:55:00,336.35,336.32,334.28,335.32371215820314,-0.003051249715465709,0.6,1,-0.006065651760228441,-0.007465651760228441
zec_5m,43,2026-01-30 17:55:00,2026-01-30 18:00:00,2026-01-30 19:55:00,334.28,334.27,341.35,331.15370483398436,-0.009352324895344011,0.0,-1,-0.021180482843210724,-0.022580482843210722
zec_5m,44,2026-01-30 19:55:00,2026-01-30 20:00:00,2026-01-30 21:55:00,341.35,341.3,337.66,340.2727355957031,-0.0031558939630786263,0.6,1,-0.010665104014063842,-0.012065104014063842
zec_5m,45,2026-01-30 21:55:00,2026-01-30 22:00:00,2026-01-30 23:55:00,337.66,337.69,340.66,336.6938415527344,-0.002861335210761262,0.6,1,0.008795048713317044,0.007395048713317044
zec_5m,46,2026-01-30 23:55:00,2026-01-31 00:00:00,2026-01-31 01:55:00,340.66,340.68,338.47,337.9944274902344,-0.007824729964673404,0.2,-1,0.006487025948103686,0.005087025948103686
zec_5m,47,2026-01-31 01:55:00,2026-01-31 02:00:00,2026-01-31 03:55:00,338.47,338.48,334.53,339.296484375,0.002441824607793852,0.6,1,-0.011669818009926836,-0.013069818009926836
zec_5m,48,2026-01-31 03:55:00,2026-01-31 04:00:00,2026-01-31 05:55:00,334.53,334.53,332.66,334.94818725585935,0.001250074001911372,0.8,1,-0.005589932143604259,-0.0069899321436042595
zec_5m,49,2026-01-31 05:55:00,2026-01-31 06:00:00,2026-01-31 07:55:00,332.66,332.65,324.59,333.23264770507814,0.0017214203844108321,0.6,1,-0.024229670825191674,-0.025629670825191672
zec_5m,50,2026-01-31 07:55:00,2026-01-31 08:00:00,2026-01-31 09:55:00,324.59,324.6,324.29,324.0142395019531,-0.0017738084908556662,0.4,-1,0.0009550215650030447,-0.0004449784349969553
zec_5m,51,2026-01-31 09:55:00,2026-01-31 10:00:00,2026-01-31 11:55:00,324.29,324.29,317.76,323.535205078125,-0.0023275306727775337,0.4,-1,0.02013629775817949,0.01873629775817949
zec_5m,52,2026-01-31 11:55:00,2026-01-31 12:00:00,2026-01-31 13:55:00,317.76,317.76,313.95,316.6569519042969,-0.0034713245710697115,0.4,-1,0.011990181268882183,0.010590181268882183
zec_5m,53,2026-01-31 13:55:00,2026-01-31 14:00:00,2026-01-31 15:55:00,313.95,313.97,312.2,313.56098022460935,-0.00123911379324928,0.6,1,-0.005637481288021218,-0.007037481288021218
zec_5m,54,2026-01-31 15:55:00,2026-01-31 16:00:00,2026-01-31 17:55:00,312.2,312.16,298.6,310.5094360351562,-0.0054150030904668075,0.0,-1,0.04343926191696568,0.04203926191696568
