asset,upside_probability,n,actual_up_rate,signal_accuracy,avg_net_return
btc_5m,0.0,73,0.4657534246575342,0.5342465753424658,3.7672096242254185e-05
btc_5m,0.2,179,0.5251396648044693,0.4748603351955307,-0.0016313484625864229
btc_5m,0.4,215,0.4744186046511628,0.5255813953488372,-0.0016987699939077605
btc_5m,0.6,211,0.4976303317535545,0.4976303317535545,-0.00224333959149382
btc_5m,0.8,153,0.49019607843137253,0.49019607843137253,-0.0012345676430149893
btc_5m,1.0,65,0.5846153846153846,0.5846153846153846,-0.0014405645491775442
sol_5m,0.0,73,0.3835616438356164,0.6027397260273972,0.0003949277810995479
sol_5m,0.2,180,0.4722222222222222,0.5222222222222223,-0.0007487535201673249
sol_5m,0.4,231,0.5541125541125541,0.4458874458874459,-0.0026467965186709225
sol_5m,0.6,204,0.46078431372549017,0.45588235294117646,-0.0027761496195043943
sol_5m,0.8,139,0.4892086330935252,0.4892086330935252,-0.0017419531083939577
sol_5m,1.0,69,0.3333333333333333,0.34782608695652173,-0.0017933019921135217
zec_5m,0.0,87,0.5862068965517241,0.41379310344827586,-0.003305325974256266
zec_5m,0.2,184,0.483695652173913,0.5163043478260869,-0.002488379213686441
zec_5m,0.4,227,0.44933920704845814,0.5506607929515418,-0.001544739745376925
zec_5m,0.6,211,0.3981042654028436,0.3933649289099526,-0.002520232166846911
zec_5m,0.8,132,0.4393939393939394,0.4318181818181818,-0.0022508988330850427
zec_5m,1.0,55,0.4727272727272727,0.4727272727272727,0.00027203275305638896
