asset,signals,mean_forecast_direction_accuracy,probability_signal_accuracy,gross_trade_win_rate,net_trade_win_rate,average_net_return,compounded_return,max_drawdown
btc_5m,896,0.5,0.5078125,0.5078125,0.40513392857142855,-0.0015740703787393787,-0.763948744825406,-0.7668737386998807
sol_5m,896,0.4966517857142857,0.47544642857142855,0.47433035714285715,0.4095982142857143,-0.0018410264992458972,-0.818993856701843,-0.8467675589388575
zec_5m,896,0.5,0.47098214285714285,0.47098214285714285,0.42857142857142855,-0.002131704117224313,-0.8728143476325457,-0.8844336470499503
