scope,filter_name,validation_trades,validation_accuracy,validation_avg_net_return,validation_compounded_return,test_trades,test_accuracy,test_avg_net_return,test_compounded_return
zec_5m,weekday,47,0.5106382978723404,0.004554524616177483,0.22507832944735728,8,0.75,0.013016408798637927,0.10456373941338226
zec_5m,weekend,12,0.3333333333333333,0.0012065828898503105,0.013278248923898506,5,0.8,0.003870696752285398,0.019414430908493596
zec_5m,hour_0_7,1,0.0,-0.005881917017971959,-0.005881917017971916,1,1.0,-4.839378889791453e-05,-4.839378889787138e-05
zec_5m,hour_8_15,20,0.45,0.0043948810779499995,0.08424678915963413,5,0.8,0.006302885449969488,0.03176515939213198
zec_5m,hour_16_23,38,0.5,0.0038559459762504585,0.1516657714850851,7,0.7142857142857143,0.01314553152708298,0.09139439339157418
zec_5m,above_sma_72,22,0.5454545454545454,0.011484666046263319,0.27525716733063255,7,0.8571428571428571,0.0154019325745523,0.10883738642690766
zec_5m,below_sma_72,37,0.43243243243243246,-0.00065191895619588,-0.026592238602809903,6,0.6666666666666666,0.002611871021444051,0.015485435104847678
zec_5m,above_sma_288,26,0.4230769230769231,0.006802723800937028,0.18362560428961827,8,0.75,0.014220858755051621,0.11519020104424316
zec_5m,below_sma_288,33,0.5151515151515151,0.0015657828125509932,0.04876509933397011,5,0.8,0.001943576822023486,0.009700600634651613
zec_5m,ret_72_up,22,0.5,0.00973358244025524,0.22808122784097407,5,0.8,0.02031317951929568,0.10195386368067161
zec_5m,ret_72_down,37,0.4594594594594595,0.0003892658906197345,0.01080058575553422,8,0.75,0.0027398570692565003,0.021828819634275742
zec_5m,ret_288_up,31,0.3225806451612903,0.0037032158525140166,0.11211397380411636,7,0.7142857142857143,0.014266858170292374,0.09987468415106648
zec_5m,ret_288_down,28,0.6428571428571429,0.004062212864664677,0.1162032432798823,6,0.8333333333333334,0.00393612449308063,0.023760462934334203
zec_5m,vol_high,21,0.6190476190476191,0.006071120653468835,0.1314191200201429,8,0.875,0.016376712765703155,0.1346571854787464
zec_5m,vol_low,15,0.4,0.0016975120047106162,0.023636531619049217,1,0.0,-0.0123762436175741,-0.012376243617574056
zec_5m,atr_high,20,0.5,0.008582116814163066,0.17788706587163317,9,0.7777777777777778,0.013927789349517779,0.1282309433351161
zec_5m,atr_low,14,0.5,0.0038539794494589033,0.053359501228030126,3,0.6666666666666666,-0.002042871064062134,-0.006206901310379598
zec_5m,rsi_low,15,0.3333333333333333,-0.0005844014923402681,-0.009401755892467056,0,0.0,0.0,0.0
zec_5m,rsi_mid,18,0.5,0.0041731532236345785,0.07335940107711014,3,1.0,0.0051780960920546565,0.01560690191045766
zec_5m,rsi_high,3,0.6666666666666666,0.03481950395467381,0.10472070526785648,6,0.6666666666666666,0.01655429116050627,0.09941142656655955
zec_5m,score_high,0,0.0,0.0,0.0,0,0.0,0.0,0.0
zec_5m,score_extreme,0,0.0,0.0,0.0,0,0.0,0.0,0.0
sol_5m,weekday,32,0.59375,-0.00045695721151784016,-0.016726701547078338,5,0.6,0.00010038404484942302,0.0003987527126430024
sol_5m,weekend,7,0.5714285714285714,-0.0006321551316622712,-0.004568178462097561,0,0.0,0.0,0.0
sol_5m,hour_0_7,7,0.5714285714285714,0.0013010658300444005,0.008968088767129512,3,0.6666666666666666,-0.000458076357358771,-0.0013915959190073934
sol_5m,hour_8_15,14,0.7142857142857143,0.0017924273168914158,0.02453811905913983,0,0.0,0.0,0.0
sol_5m,hour_16_23,18,0.5,-0.002958286663166523,-0.05315211484520577,2,0.5,0.0009380746481617141,0.0017928435454115377
sol_5m,above_sma_72,24,0.5833333333333334,-0.0011775893697572376,-0.02954312713468843,4,0.5,-0.0005337289763590481,-0.0022321974780817877
sol_5m,below_sma_72,15,0.6,0.0006142952122644616,0.00857808102145019,1,1.0,0.0026368361296833075,0.002636836129683351
sol_5m,above_sma_288,12,0.5833333333333334,-0.00172826328651241,-0.02199200087174047,3,0.6666666666666666,0.0010520448927404606,0.003075123740839736
sol_5m,below_sma_288,27,0.5925925925925926,6.264602770156036e-05,0.0007909254535780619,2,0.5,-0.0013271072269871332,-0.0026681660873171253
sol_5m,ret_72_up,17,0.5294117647058824,-0.0028117390512531286,-0.048423195557733334,4,0.5,-0.0005337289763590481,-0.0022321974780817877
sol_5m,ret_72_down,22,0.6363636363636364,0.0013069021445952912,0.02858910177224372,1,1.0,0.0026368361296833075,0.002636836129683351
sol_5m,ret_288_up,12,0.5833333333333334,-0.002171461092676376,-0.0271757259209231,3,0.6666666666666666,0.0010520448927404606,0.003075123740839736
sol_5m,ret_288_down,27,0.5925925925925926,0.00025962283044110096,0.006123671693056609,2,0.5,-0.0013271072269871332,-0.0026681660873171253
sol_5m,vol_high,16,0.75,0.002654860983252438,0.042526090224454194,2,1.0,0.0019584107557906304,0.003920196623281802
sol_5m,vol_low,8,0.375,-0.003525205125183244,-0.028090455471189046,2,0.0,-0.0067641272015305665,-0.013484670940984711
sol_5m,atr_high,19,0.631578947368421,0.0018221022945531667,0.03428292798711419,2,1.0,0.0019584107557906304,0.003920196623281802
sol_5m,atr_low,12,0.5833333333333334,-0.00292582332526203,-0.0356205061372864,1,0.0,-0.005291050583657574,-0.0052910505836575306
sol_5m,rsi_low,3,0.3333333333333333,-0.005320004944049425,-0.01618110672566131,2,1.0,0.0019584107557906304,0.003920196623281802
sol_5m,rsi_mid,8,0.5,-0.001970719959456817,-0.01598304987875332,1,1.0,0.010113353115726987,0.01011335311572692
sol_5m,rsi_high,8,0.875,0.00046533719610038085,0.002515512295263589,0,0.0,0.0,0.0
sol_5m,score_high,0,0.0,0.0,0.0,0,0.0,0.0,0.0
sol_5m,score_extreme,0,0.0,0.0,0.0,0,0.0,0.0,0.0
btc_5m,weekday,59,0.559322033898305,0.0010507594853478204,0.06230642753364246,18,0.6111111111111112,-0.0012813172227655446,-0.02295529039215871
btc_5m,weekend,31,0.4838709677419355,-0.0026366111219373596,-0.0791692758547139,6,0.16666666666666666,-0.0036065144244394574,-0.021450000310764383
btc_5m,hour_0_7,40,0.5,-0.001057010707617563,-0.0424281944409175,7,0.7142857142857143,0.0006599980693946083,0.00459762366160299
btc_5m,hour_8_15,27,0.5925925925925926,0.0007553458761292617,0.01974014758507492,9,0.5555555555555556,-0.0015027056623404104,-0.013466064874651074
