slug,mode,signal_number,signal_timestamp,entry_timestamp,exit_timestamp,current_close,entry_open,exit_close,mean_final_pred_close,forecast_return,upside_probability,position,actual_return_from_current,actual_return_from_entry,actual_up_from_current,actual_dir_from_entry,mean_pred_up,forecast_direction_correct,prob_signal_correct,directional_edge,gross_return,net_return
nq_1d_every_bar_last160,every_bar,1,2025-01-16 23:00:00,2025-01-19 23:00:00,2025-02-23 23:00:00,21594.75,21600.0,21420.25,20712.86953125,-0.040837725315180776,0.0,-1,-0.008080667754894133,-0.008321759259259265,False,-1,False,True,True,0.008321759259259265,0.008321759259259265,0.006921759259259265
nq_1d_every_bar_last160,every_bar,2,2025-01-19 23:00:00,2025-01-21 23:00:00,2025-02-24 23:00:00,21709.5,21809.25,21149.0,21405.3734375,-0.014008916027545549,0.4,-1,-0.025818190193233392,-0.030273851691369535,False,-1,False,True,True,0.030273851691369535,0.030273851691369535,0.028873851691369537
nq_1d_every_bar_last160,every_bar,3,2025-01-21 23:00:00,2025-01-22 23:00:00,2025-02-25 23:00:00,22000.5,21981.75,21187.0,21499.346875,-0.022779169791595666,0.2,-1,-0.036976432353810096,-0.03615499220944651,False,-1,False,True,True,0.03615499220944651,0.03615499220944651,0.034754992209446514
nq_1d_every_bar_last160,every_bar,4,2025-01-22 23:00:00,2025-01-23 23:00:00,2025-02-26 23:00:00,22038.25,22018.5,20605.75,21635.144921875,-0.01829115642689414,0.2,-1,-0.06500062391523831,-0.06416195471989461,False,-1,False,True,True,0.06416195471989461,0.06416195471989461,0.06276195471989461
nq_1d_every_bar_last160,every_bar,5,2025-01-23 23:00:00,2025-01-26 23:00:00,2025-02-27 23:00:00,21911.25,21771.0,20919.5,21935.0,0.001083918078612589,0.4,-1,-0.04526213703006443,-0.03911166230306373,False,-1,True,False,True,0.03911166230306373,0.03911166230306373,0.037711662303063734
nq_1d_every_bar_last160,every_bar,6,2025-01-26 23:00:00,2025-01-27 23:00:00,2025-03-02 23:00:00,21258.5,21343.25,20468.25,21915.248828125,0.0308934698179552,0.8,1,-0.03717336594773857,-0.040996568001593015,False,-1,True,False,False,-0.040996568001593015,-0.040996568001593015,-0.04239656800159301
nq_1d_every_bar_last160,every_bar,7,2025-01-27 23:00:00,2025-01-28 23:00:00,2025-03-03 23:00:00,21581.75,21559.0,20399.0,21464.60078125,-0.0054281612357663265,0.4,-1,-0.05480324811472659,-0.05380583515005333,False,-1,False,True,True,0.05380583515005333,0.05380583515005333,0.05240583515005333
nq_1d_every_bar_last160,every_bar,8,2025-01-28 23:00:00,2025-01-29 23:00:00,2025-03-04 23:00:00,21523.25,21547.75,20665.0,21901.472265625,0.017572730216161615,0.6,1,-0.039875483488785335,-0.040967154343260925,False,-1,True,False,False,-0.040967154343260925,-0.040967154343260925,-0.042367154343260924
nq_1d_every_bar_last160,every_bar,9,2025-01-29 23:00:00,2025-01-30 23:00:00,2025-03-05 23:00:00,21624.75,21680.0,20089.25,22600.5703125,0.04512516040647865,0.8,1,-0.07100660123238423,-0.07337407749077496,False,-1,True,False,False,-0.07337407749077496,-0.07337407749077496,-0.07477407749077496
nq_1d_every_bar_last160,every_bar,10,2025-01-30 23:00:00,2025-02-02 23:00:00,2025-03-06 23:00:00,21589.25,21200.0,20229.75,21658.002734375,0.0031845818810287475,0.4,-1,-0.06297115462556602,-0.04576650943396221,False,-1,True,False,True,0.04576650943396221,0.04576650943396221,0.04436650943396221
