signal_rule,filters,train_trades,train_accuracy,train_avg_directional_edge,train_avg_original_net_return,train_loser_rate,validation_trades,validation_accuracy,validation_avg_directional_edge,validation_avg_original_net_return,validation_loser_rate,test_trades,test_accuracy,test_avg_directional_edge,test_avg_original_net_return,test_loser_rate,stable_score,mean_accuracy
long_p80,none,130,0.4230769230769231,-0.0005369297505671141,-0.0019369297505671013,0.5769230769230769,39,0.5128205128205128,0.0002991142443956055,-0.0011008857556043846,0.48717948717948717,39,0.4358974358974359,-0.000423946345648699,-0.0018239463456486906,0.5641025641025641,0.4230769230769231,0.45726495726495725
long_p80,sol_trend72_up,50,0.4,-0.0003275140915174002,-0.0017275140915173862,0.6,15,0.4666666666666667,-0.0005194021541793085,-0.0019194021541792926,0.5333333333333333,13,0.3076923076923077,-0.0009362744703988415,-0.0023362744703988416,0.6923076923076923,0.3076923076923077,0.39145299145299145
long_p80,sol_trend72_down,80,0.4375,-0.0006678145374731853,-0.0020678145374731735,0.5625,24,0.5416666666666666,0.0008106869935049268,-0.0005893130064950665,0.4583333333333333,26,0.5,-0.0001677822832736277,-0.0015677822832736153,0.5,0.4375,0.4930555555555555
long_p80,sol_trend288_up,65,0.47692307692307695,-0.00012394647141775398,-0.0015239464714177444,0.5230769230769231,23,0.4782608695652174,-2.3100475772590943e-05,-0.0014231004757725737,0.5217391304347826,27,0.2962962962962963,-0.001986540781556171,-0.00338654078155615,0.7037037037037037,0.2962962962962963,0.41716008092819684
long_p80,sol_trend288_down,65,0.36923076923076925,-0.0009499130297164742,-0.0023499130297164584,0.6307692307692307,16,0.5625,0.0007622979046373879,-0.0006377020953626119,0.4375,12,0.75,0.0030918911351431135,0.001691891135143092,0.25,0.36923076923076925,0.5605769230769231
long_p80,sol_mom24_up,50,0.4,-0.0002592817752911225,-0.0016592817752911057,0.6,13,0.6153846153846154,0.001826795070736097,0.00042679507073610073,0.38461538461538464,13,0.38461538461538464,-0.001012133559991541,-0.0024121335599915413,0.6153846153846154,0.38461538461538464,0.4666666666666666
long_p80,sol_mom24_down,80,0.4375,-0.0007104597351146088,-0.002110459735114599,0.5625,25,0.48,-0.0002952274412309608,-0.001695227441230948,0.52,24,0.4166666666666667,-0.0005152236276380432,-0.0019152236276380292,0.5833333333333334,0.4166666666666667,0.44472222222222224
long_p80,sol_mom72_up,55,0.43636363636363634,0.00018036969621756078,-0.0012196303037824308,0.5636363636363636,15,0.5333333333333333,-0.00048235003723442473,-0.0018823500372344192,0.4666666666666667,16,0.3125,-0.0016356245676924994,-0.003035624567692496,0.6875,0.3125,0.4273989898989899
long_p80,sol_mom72_down,75,0.41333333333333333,-0.0010629493448758758,-0.00246294934487586,0.5866666666666667,24,0.5,0.0007875294204143743,-0.0006124705795856122,0.5,21,0.5238095238095238,0.00012516531862479967,-0.0012748346813751905,0.47619047619047616,0.41333333333333333,0.4790476190476191
long_p80,sol_rsi_hot,24,0.4583333333333333,-0.000384852161219242,-0.0017848521612192291,0.5416666666666666,6,0.6666666666666666,0.006280309972279592,0.004880309972279567,0.3333333333333333,6,0.3333333333333333,-5.5693649986476856e-05,-0.0014556936499864833,0.6666666666666666,0.3333333333333333,0.4861111111111111
long_p80,sol_rsi_cold,52,0.4423076923076923,-0.00029831776091936477,-0.001698317760919352,0.5576923076923077,13,0.5384615384615384,0.0015500642887427225,0.00015006428874273067,0.46153846153846156,13,0.46153846153846156,0.000831730572380541,-0.000568269427619449,0.5384615384615384,0.4423076923076923,0.4807692307692308
long_p80,sol_rsi_mid,54,0.3888888888888889,-0.000834294298826964,-0.002234294298826952,0.6111111111111112,20,0.45,-0.0023083620027952167,-0.0037083620027951944,0.55,20,0.45,-0.0013506121510663716,-0.0027506121510663603,0.55,0.3888888888888889,0.42962962962962964
long_p80,sol_high_volume,12,0.5833333333333334,0.00047085107069069765,-0.000929148929309309,0.4166666666666667,6,0.16666666666666666,0.0010712052180313163,-0.0003287947819686496,0.8333333333333334,4,0.25,-0.001605214730751453,-0.003005214730751425,0.75,0.16666666666666666,0.3333333333333333
long_p80,sol_low_volume,45,0.35555555555555557,-0.0018518951011417453,-0.003251895101141727,0.6444444444444445,15,0.5333333333333333,-0.0006298916274299755,-0.002029891627429973,0.4666666666666667,12,0.5,0.0009480287628522247,-0.00045197123714777517,0.5,0.35555555555555557,0.46296296296296297
long_p80,sol_high_vol24,20,0.35,-0.0007656271886643917,-0.002165627188664375,0.65,8,0.5,0.004657337974638048,0.0032573379746380377,0.5,8,0.375,-0.0004926132487446805,-0.0018926132487446874,0.625,0.35,0.4083333333333334
long_p80,sol_low_vol24,34,0.5294117647058824,0.0009530827428118974,-0.0004469172571880971,0.47058823529411764,11,0.36363636363636365,-0.0016899187655324327,-0.0030899187655324084,0.6363636363636364,13,0.38461538461538464,-0.0014932752985132686,-0.0028932752985132465,0.6153846153846154,0.36363636363636365,0.4258878376525435
long_p80,btc_p_ge_0p6,99,0.43434343434343436,-0.0005923001183084036,-0.001992300118308392,0.5656565656565656,28,0.5714285714285714,0.001799079242224662,0.0003990792422246719,0.42857142857142855,22,0.4090909090909091,-0.00040692520777597057,-0.0018069252077759568,0.5909090909090909,0.4090909090909091,0.47162097162097166
long_p80,btc_p_ge_0p8,68,0.45588235294117646,0.00043604429922038357,-0.0009639557007796088,0.5441176470588235,17,0.6470588235294118,0.004920225567885615,0.003520225567885612,0.35294117647058826,11,0.36363636363636365,-0.0020520489098955915,-0.0034520489098955635,0.6363636363636364,0.36363636363636365,0.4888591800356507
long_p80,btc_p_le_0p4,31,0.3870967741935484,-0.00036010180197396373,-0.0017601018019739484,0.6129032258064516,11,0.36363636363636365,-0.003518978477351084,-0.004918978477351073,0.6363636363636364,17,0.47058823529411764,-0.00044597370054281804,-0.0018459737005428177,0.5294117647058824,0.36363636363636365,0.4071071243746765
long_p80,btc_p_le_0p2,11,0.45454545454545453,-0.00019615730067882006,-0.0015961573006788,0.5454545454545454,5,0.4,-0.0014778456441895793,-0.0028778456441895797,0.6,8,0.375,-0.0011910547594847776,-0.0025910547594847873,0.625,0.375,0.40984848484848485
long_p80,btc_forecast_up,93,0.46236559139784944,-0.0005552620423864738,-0.0019552620423864647,0.5376344086021505,24,0.5,0.0006154463898676807,-0.0007845536101323041,0.5,25,0.44,-2.5150359609384942e-05,-0.0014251503596093777,0.56,0.44,0.46745519713261646
long_p80,btc_forecast_down,37,0.32432432432432434,-0.0004908512873454801,-0.001890851287345459,0.6756756756756757,15,0.5333333333333333,-0.00020701718835971494,-0.0016070171883597129,0.4666666666666667,14,0.42857142857142855,-0.0011360820350046169,-0.0025360820350046067,0.5714285714285714,0.32432432432432434,0.4287430287430287
long_p80,btc_mom24_up,53,0.3584905660377358,-0.00038086353805820975,-0.0017808635380581886,0.6415094339622641,18,0.5555555555555556,0.0012636314339947966,-0.00013636856600520494,0.4444444444444444,17,0.35294117647058826,-0.001093545652735039,-0.002493545652735041,0.6470588235294118,0.35294117647058826,0.42232909935462654
long_p80,btc_mom24_down,77,0.4675324675324675,-0.0006443519487875288,-0.0020443519487875227,0.5324675324675324,21,0.47619047619047616,-0.0005276147752608439,-0.0019276147752608237,0.5238095238095238,22,0.5,9.34713007362001e-05,-0.0013065286992637835,0.5,0.4675324675324675,0.48124098124098125
long_p80,btc_mom72_up,51,0.37254901960784315,-0.0020405527680910193,-0.003440552768091004,0.6274509803921569,18,0.6111111111111112,0.000661454138292667,-0.0007385458617073384,0.3888888888888889,20,0.2,-0.0030299557923651743,-0.004429955792365152,0.8,0.2,0.3945533769063181
long_p80,btc_mom72_down,78,0.46153846153846156,0.0005955833324204537,-0.0008044166675795359,0.5384615384615384,21,0.42857142857142855,-1.1462807516161524e-05,-0.0014114628075161382,0.5714285714285714,19,0.6842105263157895,0.0023192214930002225,0.000919221493000216,0.3157894736842105,0.42857142857142855,0.5247734721418932
long_p80,btc_trend72_up,47,0.3191489361702128,-0.002204348623337265,-0.0036043486233372423,0.6808510638297872,20,0.5,-0.0008170004509004236,-0.0022170004509004144,0.5,20,0.35,4.932979085415789e-05,-0.0013506702091458404,0.65,0.3191489361702128,0.38971631205673757
long_p80,btc_trend72_down,83,0.4819277108433735,0.00040727129786899543,-0.0009927287021309975,0.5180722891566265,19,0.5263157894736842,0.0014739718183914257,7.397181839143675e-05,0.47368421052631576,19,0.5263157894736842,-0.0009221317524938114,-0.0023221317524937967,0.47368421052631576,0.4819277108433735,0.5115197632635806
long_p80,btc_trend288_up,68,0.45588235294117646,-0.0004917702708647955,-0.0018917702708647838,0.5441176470588235,25,0.48,-0.00029580769867851406,-0.0016958076986784954,0.52,25,0.28,-0.0010346381045404352,-0.0024346381045404174,0.72,0.28,0.4052941176470588
long_p80,btc_trend288_down,62,0.3870967741935484,-0.0005864595024986894,-0.0019864595024986762,0.6129032258064516,14,0.5714285714285714,0.001361474857027962,-3.852514297204288e-05,0.42857142857142855,14,0.7142857142857143,0.0006665746523722585,-0.0007334253476277499,0.2857142857142857,0.3870967741935484,0.5576036866359447
long_p80,btc_high_volume,17,0.4117647058823529,-0.0013945933472066158,-0.0027945933472066065,0.5882352941176471,2,0.5,-0.00023924996027335776,-0.0016392499602732999,0.5,4,0.5,0.0009604577287789795,-0.0004395422712210248,0.5,0.4117647058823529,0.4705882352941176
long_p80,btc_low_volume,49,0.42857142857142855,-0.0005140268265633254,-0.001914026826563308,0.5714285714285714,16,0.4375,-0.001679013097188202,-0.0030790130971881805,0.5625,14,0.42857142857142855,-0.0012152623627927825,-0.0026152623627927712,0.5714285714285714,0.42857142857142855,0.43154761904761907
long_p80,btc_high_vol24,22,0.45454545454545453,0.00048626523914919626,-0.0009137347608507956,0.5454545454545454,10,0.5,0.0029876437252887023,0.00158764372528869,0.5,5,0.2,-0.0010140529338340753,-0.00241405293383406,0.8,0.2,0.38484848484848483
long_p80,btc_low_vol24,39,0.5128205128205128,0.0010324694134154133,-0.0003675305865845797,0.48717948717948717,11,0.5454545454545454,-0.0008774778632246132,-0.0022774778632246094,0.45454545454545453,11,0.5454545454545454,0.00044323867363203133,-0.0009567613263679729,0.45454545454545453,0.5128205128205128,0.5345765345765345
long_p80,btc_high_atr,21,0.47619047619047616,0.0021399690762744557,0.0007399690762744616,0.5238095238095238,10,0.5,0.003535129079148991,0.00213512907914898,0.5,5,0.4,2.4947789156093415e-05,-0.0013750522108439199,0.6,0.4,0.4587301587301587
long_p80,btc_low_atr,40,0.525,0.001252104692833622,-0.00014789530716637485,0.475,13,0.46153846153846156,-0.0017713391029995362,-0.003171339102999523,0.5384615384615384,12,0.4166666666666667,-0.0009969180562057571,-0.0023969180562057333,0.5833333333333334,0.4166666666666667,0.4677350427350428
long_p80,btc_sol_agree,92,0.45652173913043476,-0.0006077647336893844,-0.002007764733689374,0.5434782608695652,25,0.48,0.0004333299818699654,-0.00096667001813002,0.52,25,0.44,-2.5150359609384942e-05,-0.0014251503596093777,0.56,0.44,0.4588405797101449
long_p80,btc_sol_disagree,38,0.34210526315789475,-0.00036543452827109135,-0.0017654345282710738,0.6578947368421053,14,0.5714285714285714,5.944328461996281e-05,-0.001340556715380035,0.42857142857142855,14,0.42857142857142855,-0.0011360820350046169,-0.0025360820350046067,0.5714285714285714,0.34210526315789475,0.4473684210526316
long_p80,hour_8_15,37,0.2702702702702703,-0.003748147194851788,-0.005148147194851766,0.7297297297297297,12,0.5833333333333334,0.0012935422888699182,-0.00010645771113006637,0.4166666666666667,7,0.42857142857142855,0.000467557918588419,-0.0009324420814115769,0.5714285714285714,0.2702702702702703,0.42739167739167744
long_p80,weekday,88,0.3977272727272727,-0.0010683359623382279,-0.0024683359623382116,0.6022727272727273,29,0.4827586206896552,0.0002561941266504285,-0.0011438058733495584,0.5172413793103449,22,0.4090909090909091,-0.0002849706165792226,-0.0016849706165792248,0.5909090909090909,0.3977272727272727,0.42985893416927906
long_p80,sol_trend72_up+sol_trend288_up,36,0.4444444444444444,3.1898661052051945e-06,-0.0013968101338947862,0.5555555555555556,11,0.45454545454545453,-0.0001650720524704658,-0.0015650720524704451,0.5454545454545454,12,0.3333333333333333,-0.0007577352746470922,-0.0021577352746470955,0.6666666666666666,0.3333333333333333,0.41077441077441074
long_p80,sol_trend72_up+sol_trend288_down,14,0.2857142857142857,-0.0011778956968326712,-0.0025778956968326417,0.7142857142857143,4,0.5,-0.001493809933878626,-0.002893809933878623,0.5,1,0.0,-0.003078744819419832,-0.0044787448194198,1.0,0.0,0.2619047619047619
long_p80,sol_trend72_up+sol_mom24_up,38,0.4473684210526316,7.401549529941882e-05,-0.0013259845047005735,0.5526315789473685,10,0.6,0.0018373343193144875,0.00043733431931450105,0.4,10,0.3,-0.0016270713607591692,-0.003027071360759164,0.7,0.3,0.44912280701754387
long_p80,sol_trend72_up+sol_mom24_down,12,0.25,-0.0015990244497706603,-0.002999024449770625,0.75,4,0.25,-0.005365545287116968,-0.0067655452871169496,0.75,2,0.0,-0.002382626582977221,-0.0037826265829772002,1.0,0.0,0.16666666666666666
long_p80,sol_trend72_up+sol_mom72_up,44,0.4318181818181818,-8.020993467300846e-06,-0.0014080209934672911,0.5681818181818182,11,0.5454545454545454,0.0009913854979684707,-0.000408614502031518,0.45454545454545453,12,0.3333333333333333,-0.00023993470295113895,-0.001639934702951145,0.6666666666666666,0.3333333333333333,0.43686868686868685
long_p80,sol_trend72_up+sol_mom72_down,6,0.16666666666666666,-0.002670463477218129,-0.0040704634772180835,0.8333333333333334,4,0.25,-0.004674068197585701,-0.006074068197585673,0.75,1,0.0,-0.009292351679771271,-0.0106923516797712,1.0,0.0,0.13888888888888887
long_p80,sol_trend72_up+sol_rsi_hot,18,0.5,8.738833113046561e-05,-0.0013126116688695272,0.5,4,0.75,0.009686280936529262,0.008286280936529226,0.25,6,0.3333333333333333,-5.5693649986476856e-05,-0.0014556936499864833,0.6666666666666666,0.3333333333333333,0.5277777777777778
long_p80,sol_trend72_up+sol_rsi_cold,6,0.16666666666666666,-0.0025354866516379784,-0.003935486651637916,0.8333333333333334,1,1.0,0.00011134617525887514,-0.0012886538247411,0.0,1,1.0,0.0014270424545128613,2.7042454512861283e-05,0.0,0.16666666666666666,0.7222222222222223
long_p80,sol_trend72_up+sol_rsi_mid,26,0.38461538461538464,-0.00010522210101501997,-0.0015052221010150115,0.6153846153846154,10,0.3,-0.004664750223406555,-0.006064750223406519,0.7,6,0.16666666666666666,-0.0022107414449631566,-0.0036107414449631503,0.8333333333333334,0.16666666666666666,0.28376068376068375
long_p80,sol_trend72_up+sol_high_volume,6,0.6666666666666666,0.000987760679736142,-0.0004122393202638664,0.3333333333333333,3,0.3333333333333333,0.005492404449431554,0.004092404449431567,0.6666666666666666,0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
long_p80,sol_trend72_up+sol_low_volume,16,0.375,-0.0019866173234215634,-0.0033866173234215436,0.625,7,0.5714285714285714,0.00015609175438391354,-0.0012439082456160847,0.42857142857142855,3,0.0,-0.0037357878821331347,-0.005135787882133099,1.0,0.0,0.31547619047619047
long_p80,sol_trend72_up+sol_high_vol24,6,0.16666666666666666,-0.005841784395894593,-0.007241784395894551,0.8333333333333334,5,0.6,0.008371848067432986,0.00697184806743296,0.4,3,0.0,-0.004059832361682762,-0.005459832361682734,1.0,0.0,0.25555555555555554
