asset,score_col,side,long_threshold,short_threshold,min_abs_pred_ret,train_trades,train_accuracy,train_avg_directional_edge,train_avg_original_net_return,validation_trades,validation_accuracy,validation_avg_directional_edge,validation_avg_original_net_return,test_trades,test_accuracy,test_avg_directional_edge,test_avg_original_net_return
btc_5m,score_raw,both,0.85,0.15,0.002,83,0.5301204819277109,0.00025535084817339323,-0.0011446491518266003,19,0.7368421052631579,0.0018514524320026402,0.00045145243200265205,20,0.55,0.0010404866769074372,-0.000359513323092545
sol_5m,score_logit,both,0.75,0.4,0.0,101,0.6732673267326733,0.0028554318242998912,-0.0004902554710561542,14,0.7857142857142857,0.0035556809990949867,0.0012971284132340074,16,0.75,0.0024318632432308723,-0.0009712667231025689
zec_5m,score_logit,both,0.55,0.45,0.01,39,0.5128205128205128,-0.0005261820147129293,0.0010621237356834158,12,0.8333333333333334,0.010685642975193116,0.0013836902599191426,10,0.4,0.004972971490084232,-0.013921233030403091
