slug,mode,csv_path,rows,start,end,signals,traded_signals,coverage,forecast_direction_accuracy,threshold_signal_accuracy,gross_win_rate,net_win_rate,avg_forecast_return,avg_actual_return_from_entry,avg_net_return,total_compounded_return,max_drawdown
nq_5m_random_seed7,random,data/demo_app/NQ_in_5_minute.csv,5452,2025-09-14 22:00:00,2025-10-10 15:15:00,64,64,1.0,0.5,0.546875,0.546875,0.21875,-0.00014616859681992124,0.00011561709947151277,-0.0013687815728740168,-0.08402774139162239,-0.08082533354051835
nq_1h_random_seed42,random,data/demo_app/NQ_in_1_hour.csv,10504,2024-01-01 23:00:00,2025-10-10 15:00:00,64,64,1.0,0.578125,0.640625,0.640625,0.59375,0.0007126625797734068,-5.6433254181377165e-05,-0.00013277763964135339,-0.01599694784369632,-0.09896772148688426
nq_1d_random_seed99,random,data/demo_app/NQ_in_daily.csv,6648,1999-06-29 22:00:00,2025-10-09 22:00:00,64,64,1.0,0.46875,0.484375,0.484375,0.46875,-0.0005990244953022784,0.023869981758756136,0.00048075708256038524,-0.059571572015280516,-0.4416137801552882
nq_1d_every_bar_last160,every_bar,data/demo_app/NQ_in_daily.csv,6648,1999-06-29 22:00:00,2025-10-09 22:00:00,160,160,1.0,0.51875,0.48125,0.48125,0.475,0.009930237345424683,0.02195807651231762,0.0030518272313432293,0.030156870752620524,-0.8117872400781645
