signal_number,signal_timestamp,entry_timestamp,exit_timestamp,current_close,entry_open,exit_close,mean_final_pred_close,forecast_return,upside_probability,position,gross_return,net_return
1,2022-08-01,2022-08-08,2023-01-16,23174.39,23174.39,22707.88,31663.82578125,0.3663283383618728,1.0,1,-0.020130411199604348,-0.021530411199604346
2,2023-01-16,2023-01-23,2023-07-03,22707.88,22706.02,30160.71,22624.0861328125,-0.0036900788267112848,0.4,-1,-0.3283133724007994,-0.3297133724007994
3,2023-07-03,2023-07-10,2023-12-18,30160.71,30160.71,42991.5,20581.6828125,-0.31759952559140686,0.2,-1,-0.4254140568972018,-0.4268140568972018
4,2023-12-18,2023-12-25,2024-06-03,42991.5,42991.5,69648.14,42194.35703125,-0.01854187382971051,0.6,1,0.6200444273868091,0.6186444273868091
5,2024-06-03,2024-06-10,2024-11-18,69648.14,69648.15,97900.04,73805.45390625,0.059690235895028934,0.6,1,0.40563733566505356,0.40423733566505354
6,2024-11-18,2024-11-25,2025-05-05,97900.04,97900.05,104118.0,103942.278125,0.061718443884190496,0.8,1,0.06351324641815803,0.06211324641815803
7,2025-05-05,2025-05-12,2025-10-20,104118.0,104118.0,114559.4,119236.853125,0.14520883156610775,0.8,1,0.10028429282160611,0.09888429282160612
8,2025-10-20,2025-10-27,2026-04-06,114559.4,114559.41,70740.98,141048.30625,0.23122420552132783,1.0,1,-0.3824952485352361,-0.3838952485352361
