asset,signal_rule,filters,side,train_trades,train_accuracy,train_avg_directional_edge,train_avg_original_net_return,validation_trades,validation_accuracy,validation_avg_directional_edge,validation_avg_original_net_return,test_trades,test_accuracy,test_avg_directional_edge,test_avg_original_net_return
btc_5m,long_p60,low_vol24+trend288_up,1,47,0.574468085106383,0.00044424476512736717,-0.0009557552348726276,14,0.6428571428571429,0.0011472974195539307,-0.00025270258044605715,14,0.6428571428571429,0.0005423029907147746,-0.0008576970092852143
sol_5m,short_p20,trend72_up+trend288_down,-1,40,0.55,0.0012838341094083133,-0.00011616589059168687,13,0.6153846153846154,0.0019254128119428658,0.0005254128119428537,12,0.5833333333333334,0.002085285803809539,0.0006852858038095504
zec_5m,short_p40,rsi_mid+hour_8_15,-1,50,0.6,0.00041271848287129933,-0.0009872815171286934,18,0.5555555555555556,0.0007229769273393275,-0.0006770230726606554,19,0.6842105263157895,0.0023896244229390197,0.0009896244229390156
