asset,signal_rule,filters,side,train_trades,train_accuracy,train_avg_directional_edge,train_avg_original_net_return,validation_trades,validation_accuracy,validation_avg_directional_edge,validation_avg_original_net_return,test_trades,test_accuracy,test_avg_directional_edge,test_avg_original_net_return
btc_5m,long_p100,none,1,41,0.5853658536585366,-0.0005305616746411585,-0.0019305616746411577,11,0.7272727272727273,0.0011094110863701227,-0.00029058891362985454,13,0.46153846153846156,0.0005317546933596343,-0.0008682453066403463
btc_5m,long_p100,high_atr,1,11,0.8181818181818182,0.0009775564220720395,-0.0004224435779279731,2,1.0,0.004653252441414679,0.0032532524414147,2,0.5,0.00025346444891810593,-0.0011465355510819001
btc_5m,long_p100,low_atr,1,11,0.45454545454545453,-0.0024160928429131797,-0.0038160928429131543,6,0.6666666666666666,0.0005656204312699716,-0.0008343795687300002,3,0.6666666666666666,0.0017189571351218607,0.00031895713512186647
btc_5m,long_p100,high_vol24,1,11,0.8181818181818182,0.0013868534810984499,-1.3146518901554796e-05,2,1.0,0.004653252441414679,0.0032532524414147,2,0.5,0.00025346444891810593,-0.0011465355510819001
btc_5m,long_p100,low_vol24,1,15,0.6,-0.0011196332778516949,-0.0025196332778516933,4,1.0,0.001841212043079854,0.00044121204307987513,3,0.6666666666666666,0.002372502799412146,0.0009725027994121333
btc_5m,long_p100,high_vol72,1,9,0.8888888888888888,0.0032236203653756013,0.001823620365375578,2,0.5,0.0014509255160077283,5.0925516007749826e-05,2,0.5,0.0007272893098976274,-0.0006727106901023999
btc_5m,long_p100,low_vol72,1,12,0.4166666666666667,-0.0038565829167640044,-0.005256582916763991,7,0.7142857142857143,0.0005502870394926854,-0.0008497129605072858,5,0.6,0.0011723659402934183,-0.00022763405970656017
btc_5m,long_p100,high_volume,1,5,0.6,0.00025177487926253406,-0.0011482251207374796,2,1.0,0.0009184569718705404,-0.0004815430281294,1,0.0,-0.001763681610629897,-0.0031636816106298
btc_5m,long_p100,low_volume,1,13,0.5384615384615384,-0.0017389129380358014,-0.0031389129380357977,4,0.75,0.0009943747155846117,-0.00040562528441537505,2,1.0,0.006226586278878732,0.00482658627887865
btc_5m,long_p100,rsi_hot,1,6,0.5,0.0004283657316590343,-0.0009716342683409665,5,0.6,0.0012086175285090706,-0.00019138247149090015,3,0.6666666666666666,0.002372502799412146,0.0009725027994121333
btc_5m,long_p100,rsi_cold,1,21,0.6190476190476191,0.0005824127414534626,-0.0008175872585465383,2,0.5,-0.0025591934280236317,-0.00395919342802355,6,0.6666666666666666,0.0014269941867384912,2.6994186738516742e-05
btc_5m,long_p100,rsi_mid,1,14,0.5714285714285714,-0.0026109921871974584,-0.004010992187197455,4,1.0,0.002819705290893315,0.0014197052908933002,4,0.0,-0.002191665626248035,-0.0035916656262480005
btc_5m,long_p100,mom24_up,1,13,0.46153846153846156,-0.0002038285879947938,-0.001603828587994767,5,0.8,0.002461538178572709,0.0010615381785727199,5,0.6,0.0016270842315644573,0.0002270842315644599
btc_5m,long_p100,mom24_down,1,28,0.6428571428571429,-0.0006822591791555421,-0.0020822591791555536,6,0.6666666666666666,-1.736149046536554e-05,-0.0014173614904653337,8,0.375,-0.00015282626801838006,-0.0015528262680183501
btc_5m,long_p100,mom72_up,1,11,0.6363636363636364,0.0010157025127905646,-0.0003842974872094338,6,0.6666666666666666,0.0010910284232388268,-0.00030897157676115,6,0.3333333333333333,-0.0004913446127066864,-0.0018913446127066665
btc_5m,long_p100,mom72_down,1,30,0.5666666666666667,-0.0010975252100327904,-0.0024975252100327898,5,0.8,0.0011314702821276779,-0.00026852971787230006,7,0.5714285714285714,0.001408696955702195,8.696955702214046e-06
btc_5m,long_p100,trend24_up,1,11,0.5454545454545454,0.0014503909693278133,5.039096932780941e-05,7,0.7142857142857143,0.001722441996152267,0.00032244199615228563,4,0.5,0.0013763283126760062,-2.367168732400008e-05
btc_5m,long_p100,trend24_down,1,30,0.6,-0.0012569109774297816,-0.002656910977429779,4,0.75,3.660699425137026e-05,-0.0013633930057486,9,0.4444444444444444,0.00015638864033013574,-0.0012436113596698333
btc_5m,long_p100,trend72_up,1,8,0.5,0.0004415860443865993,-0.0009584139556133874,5,0.8,0.002461538178572709,0.0010615381785727199,6,0.5,-2.74571925163077e-05,-0.0014274571925162998
btc_5m,long_p100,trend72_down,1,33,0.6060606060606061,-0.000766233848950918,-0.00216623384895092,6,0.6666666666666666,-1.736149046536554e-05,-0.0014173614904653337,7,0.42857142857142855,0.0010110791669675847,-0.0003889208330323859
btc_5m,long_p100,trend288_up,1,21,0.42857142857142855,-0.000639070212117684,-0.0020390702121176746,9,0.7777777777777778,0.0014449739798714962,4.497397987151113e-05,10,0.5,0.0009245691024290959,-0.00047543089757090003
btc_5m,long_p100,trend288_down,1,20,0.75,-0.0004166277102908067,-0.0018166277102908152,2,0.5,-0.0004006219343860584,-0.001800621934386,3,0.3333333333333333,-0.0007776266702052373,-0.0021776266702051663
btc_5m,long_p100,hour_0_7,1,19,0.5263157894736842,-0.0014106891633569889,-0.0028106891633569845,7,0.7142857142857143,0.0010006367468945612,-0.0003993632531054143,5,0.6,0.001532721266953474,0.00013272126695348002
btc_5m,long_p100,hour_8_15,1,13,0.6923076923076923,0.0016097605939449516,0.00020976059394494617,2,1.0,0.003000154295290769,0.00160015429529075,5,0.4,0.0006001716120027645,-0.0007998283879972201
btc_5m,long_p100,hour_16_23,1,9,0.5555555555555556,-0.001764091364198787,-0.003164091364198786,2,0.5,-0.0004006219343860584,-0.001800621934386,3,0.3333333333333333,-0.0012505511270353153,-0.0026505511270352665
btc_5m,long_p100,weekday,1,29,0.6551724137931034,0.0019334788597701554,0.000533478859770149,6,0.5,0.0008181583530307476,-0.0005818416469692334,8,0.5,0.0006233973005736193,-0.0007766026994263625
btc_5m,long_p100,weekend,1,12,0.4166666666666667,-0.006485326299468501,-0.007885326299468483,5,1.0,0.0014589143663773728,5.891436637740005e-05,5,0.4,0.00038512652181725836,-0.00101487347818272
btc_5m,long_p100,high_atr+high_vol24,1,9,0.7777777777777778,-0.0011964243847902229,-0.002596424384790222,2,1.0,0.004653252441414679,0.0032532524414147,2,0.5,0.00025346444891810593,-0.0011465355510819001
btc_5m,long_p100,high_atr+low_vol24,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
btc_5m,long_p100,high_atr+high_vol72,1,8,0.875,0.003333194549340182,0.0019331945493401628,1,1.0,0.00866337138544604,0.007263371385446,1,1.0,0.004492395639032365,0.0030923956390323
btc_5m,long_p100,high_atr+low_vol72,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
btc_5m,long_p100,high_atr+high_volume,1,2,0.5,-0.002342932528168251,-0.0037429325281682496,1,1.0,0.0006431334973833192,-0.0007568665026166,0,0.0,0.0,0.0
btc_5m,long_p100,high_atr+low_volume,1,3,0.6666666666666666,-0.007580369430606804,-0.0089803694306068,0,0.0,0.0,0.0,1,1.0,0.004492395639032365,0.0030923956390323
btc_5m,long_p100,high_atr+rsi_hot,1,1,1.0,0.0091637004252616,0.0077637004252616,1,1.0,0.00866337138544604,0.007263371385446,0,0.0,0.0,0.0
btc_5m,long_p100,high_atr+rsi_cold,1,8,0.875,0.003143646140866943,0.001743646140866925,1,1.0,0.0006431334973833192,-0.0007568665026166,1,1.0,0.004492395639032365,0.0030923956390323
btc_5m,long_p100,high_atr+rsi_mid,1,2,0.5,-0.011779874454702355,-0.01317987445470235,0,0.0,0.0,0.0,1,0.0,-0.003985466741196153,-0.0053854667411961
btc_5m,long_p100,high_atr+mom24_up,1,1,1.0,0.0091637004252616,0.0077637004252616,1,1.0,0.00866337138544604,0.007263371385446,0,0.0,0.0,0.0
btc_5m,long_p100,high_atr+mom24_down,1,10,0.8,0.00015894202175308346,-0.0012410579782469301,1,1.0,0.0006431334973833192,-0.0007568665026166,2,0.5,0.00025346444891810593,-0.0011465355510819001
btc_5m,long_p100,high_atr+mom72_up,1,2,1.0,0.006869042655101687,0.00546904265510165,1,1.0,0.00866337138544604,0.007263371385446,1,1.0,0.004492395639032365,0.0030923956390323
btc_5m,long_p100,high_atr+mom72_down,1,9,0.7777777777777778,-0.0003316627408234376,-0.0017316627408234444,1,1.0,0.0006431334973833192,-0.0007568665026166,1,0.0,-0.003985466741196153,-0.0053854667411961
btc_5m,long_p100,high_atr+trend24_up,1,2,1.0,0.007627236288994643,0.0062272362889946,1,1.0,0.00866337138544604,0.007263371385446,0,0.0,0.0,0.0
btc_5m,long_p100,high_atr+trend24_down,1,9,0.7777777777777778,-0.0005001502150218724,-0.0019001502150218777,1,1.0,0.0006431334973833192,-0.0007568665026166,2,0.5,0.00025346444891810593,-0.0011465355510819001
btc_5m,long_p100,high_atr+trend72_up,1,1,1.0,0.0091637004252616,0.0077637004252616,1,1.0,0.00866337138544604,0.007263371385446,1,1.0,0.004492395639032365,0.0030923956390323
btc_5m,long_p100,high_atr+trend72_down,1,10,0.8,0.00015894202175308346,-0.0012410579782469301,1,1.0,0.0006431334973833192,-0.0007568665026166,1,0.0,-0.003985466741196153,-0.0053854667411961
btc_5m,long_p100,high_atr+trend288_up,1,1,1.0,0.004574384884941773,0.0031743848849417,1,1.0,0.00866337138544604,0.007263371385446,2,0.5,0.00025346444891810593,-0.0011465355510819001
