signal_number,signal_timestamp,entry_timestamp,exit_timestamp,current_close,entry_open,exit_close,mean_final_pred_close,forecast_return,upside_probability,position,gross_return,net_return
1,2022-07-30,2022-08-01,2022-09-16,42.35,42.34,33.68,24.20848846435547,-0.4283709925772026,0.0,-1,0.204534718941899,0.203134718941899
2,2022-09-16,2022-09-18,2022-11-03,33.68,33.69,33.74,18.495499420166016,-0.4508462167409141,0.0,-1,-0.0014841199168893482,-0.0028841199168893484
3,2022-11-03,2022-11-05,2022-12-21,33.74,33.73,11.82,28.65188217163086,-0.1508037293529681,0.4,-1,0.6495701156240734,0.6481701156240735
4,2022-12-21,2022-12-23,2023-02-07,11.82,11.81,23.22,42.42549514770508,2.5892973898227645,1.0,1,0.9661303979678237,0.9647303979678238
5,2023-02-07,2023-02-09,2023-03-27,23.22,23.21,20.45,29.725293731689455,0.2801590754388223,0.6,1,-0.11891426109435599,-0.12031426109435599
6,2023-03-27,2023-03-29,2023-05-14,20.45,20.45,20.99,21.740410614013673,0.063100763521451,0.2,-1,-0.026405867970660024,-0.027805867970660023
7,2023-05-14,2023-05-16,2023-07-01,20.99,20.98,19.45,22.051036071777343,0.05054959846485689,0.6,1,-0.07292659675881796,-0.07432659675881796
8,2023-07-01,2023-07-03,2023-08-18,19.45,19.46,21.9,23.76833724975586,0.22202248070724212,0.6,1,0.12538540596094538,0.12398540596094539
9,2023-08-18,2023-08-20,2023-10-05,21.9,21.89,23.41,28.579509735107422,0.3050004445254531,0.8,1,0.06943809958885327,0.06803809958885328
10,2023-10-05,2023-10-07,2023-11-22,23.41,23.41,56.51,25.92987976074219,0.10764116876301529,0.6,1,1.4139256727894063,1.4125256727894062
11,2023-11-22,2023-11-24,2024-01-09,56.51,56.52,102.0,53.741407775878905,-0.0489929609648043,0.2,-1,-0.8046709129511675,-0.8060709129511675
12,2024-01-09,2024-01-11,2024-02-26,102.0,101.99,108.36,61.867662048339845,-0.393454293643727,0.0,-1,-0.06245710363761159,-0.06385710363761159
13,2024-02-26,2024-02-28,2024-04-14,108.36,108.35,138.51,56.630384826660155,-0.47738662950664307,0.0,-1,-0.2783571758191048,-0.2797571758191048
14,2024-04-14,2024-04-16,2024-06-01,138.51,138.51,163.15,38.84869918823242,-0.7195242279385429,0.0,-1,-0.17789329290303968,-0.1792932929030397
15,2024-06-01,2024-06-03,2024-07-19,163.15,163.14,173.6,66.23510665893555,-0.5940232506347806,0.0,-1,-0.06411670957459847,-0.06551670957459847
16,2024-07-19,2024-07-21,2024-09-05,173.6,173.6,125.05,72.11112899780274,-0.5846133122246386,0.0,-1,0.27966589861751157,0.27826589861751155
17,2024-09-05,2024-09-07,2024-10-23,125.05,125.05,177.19,63.85435104370117,-0.48936944387284154,0.0,-1,-0.4169532187125151,-0.41835321871251513
18,2024-10-23,2024-10-25,2024-12-10,177.19,177.19,227.29,105.51602020263672,-0.4045035261434803,0.0,-1,-0.2827473333709578,-0.2841473333709578
19,2024-12-10,2024-12-12,2025-01-27,227.29,227.29,227.06,153.4461669921875,-0.3248881737331713,0.0,-1,0.001011923093844791,-0.00038807690615520903
20,2025-01-27,2025-01-29,2025-03-16,227.06,227.06,128.01,143.83175811767578,-0.36654735260426413,0.0,-1,0.4362283096978773,0.4348283096978773
21,2025-03-16,2025-03-18,2025-05-03,128.01,128.01,143.95,92.27516326904296,-0.279156602851004,0.2,-1,-0.12452152175611286,-0.12592152175611288
22,2025-05-03,2025-05-05,2025-06-20,143.95,143.94,135.43,124.7174789428711,-0.13360556482896074,0.4,-1,0.05912185632902589,0.05772185632902589
23,2025-06-20,2025-06-22,2025-08-07,135.43,135.43,176.78,110.70191497802735,-0.18258941905023013,0.2,-1,-0.3053237835043934,-0.3067237835043934
24,2025-08-07,2025-08-09,2025-09-24,176.78,176.79,192.74,154.20468444824218,-0.12770288240614214,0.4,-1,-0.09022003506985699,-0.09162003506985698
25,2025-09-24,2025-09-26,2025-11-11,192.74,192.73,153.42,161.4295654296875,-0.16244907424671845,0.2,-1,0.2039640948477145,0.20256409484771448
26,2025-11-11,2025-11-13,2025-12-29,153.42,153.43,125.01,164.4910629272461,0.07216179720535854,0.8,1,-0.18523104999022355,-0.18663104999022356
27,2025-12-29,2025-12-31,2026-02-15,125.01,125.02,86.45,185.0243927001953,0.48007673546272545,1.0,1,-0.3085106382978723,-0.3099106382978723
28,2026-02-15,2026-02-17,2026-04-04,86.45,86.45,81.89,193.99501342773436,1.244014036179692,1.0,1,-0.05274725274725278,-0.05414725274725278
