timestamp,open,high,low,close,volume,amount
2020-08-11,2.85,3.9289,2.8433,3.7558,3289427.73,11115302.662744999
2020-08-13,3.75,4.1387,3.321,3.4099,3159921.0300000003,11652402.076467
2020-08-15,3.4181,3.74,3.12,3.3885,1738339.73,5885721.250012
2020-08-17,3.3885,3.7092,2.8105,3.3407,3442529.58,11240635.920853999
2020-08-19,3.334,3.49,2.8,3.2038,2711071.08,8458643.820306
2020-08-21,3.2038,3.24,2.7431,3.0126,2301313.6799999997,6914339.868675999
2020-08-23,3.0224,3.62,3.0014,3.3405,2513232.75,8351090.113588
2020-08-25,3.3406,3.7999,3.0001,3.5684,3439217.93,11695471.997275
2020-08-27,3.5557,4.3091,3.2434,4.0063,4994911.64,18667832.329883
2020-08-29,4.007,4.7117,3.7748,4.4309,3158526.19,13257988.257938001
2020-08-31,4.4127,4.9475,4.1,4.3397,2764703.88,12536394.384683
2020-09-02,4.3213,4.459,3.4772,3.5051,5277670.62,21078522.177107
2020-09-04,3.5062,3.8346,2.0926,2.6052,6478464.62,19135018.851122
2020-09-06,2.6119,3.1983,2.2575,2.9237,5578842.08,15210722.371956
2020-09-08,2.9237,3.8838,2.3821,3.6001,8317511.69,26310924.764680002
2020-09-10,3.6107,3.875,3.0316,3.3965,6584527.6,22690809.606169
2020-09-12,3.3967,3.47,2.9838,3.2603,3186321.88,10373487.68665
2020-09-14,3.2656,3.5393,2.8955,2.9295,5050040.7,16503386.251686
2020-09-16,2.9288,2.9389,2.36,2.8829,9522514.3,24817885.877367
2020-09-18,2.883,3.2545,2.726,3.031,5755666.09,17179892.58892
2020-09-20,3.0216,3.0397,2.4689,2.7672,5024507.890000001,13818145.738193002
2020-09-22,2.7571,3.09,2.65,2.8548,6178937.29,17778779.771387
2020-09-24,2.855,3.2766,2.7804,3.1937,5431544.26,16605518.382636
2020-09-26,3.185,3.25,2.9819,3.1578,2340834.58,7284929.0071020005
2020-09-28,3.1557,3.2109,2.8735,2.9505,2257009.71,6788728.917114999
2020-09-30,2.9447,2.9889,2.65,2.8669,2095819.42,5992566.725610999
2020-10-02,2.8667,2.8873,2.42,2.5439,3335518.34,8710306.037683
2020-10-04,2.542,2.683,2.42,2.6522,1677986.38,4260539.078472
2020-10-06,2.6486,2.6604,2.081,2.3005,3871976.5300000003,8898808.436739
2020-10-08,2.3001,2.63,2.0123,2.5314,4637713.73,10828056.138641
2020-10-10,2.5274,2.6056,2.3401,2.4227,2177704.35,5369320.352902
2020-10-12,2.4228,2.7044,2.336,2.4062,4106418.11,10324991.392183
2020-10-14,2.4061,2.4424,2.1932,2.2682,1880294.94,4342711.749513
2020-10-16,2.2648,2.269,2.1071,2.2053,2028899.68,4431069.648283999
2020-10-18,2.2031,2.2595,2.05,2.0592,1388138.45,2965817.2759100003
2020-10-20,2.0552,2.11,1.8401,1.8887,5155891.79,10014131.509725
2020-10-22,1.8868,2.09,1.8481,1.959,3184770.4400000004,6225793.302371999
2020-10-24,1.9652,1.973,1.76,1.7926,2113959.82,3972808.831553
2020-10-26,1.7925,1.8685,1.5906,1.711,4613022.1,7868303.257484
2020-10-28,1.7084,1.7255,1.4148,1.4327,4588246.33,7059491.8699819995
2020-10-30,1.4328,1.558,1.3163,1.5497,2253617.67,3247357.826694
2020-11-01,1.5497,1.6463,1.4621,1.4738,1828402.31,2843682.5392589998
2020-11-03,1.4729,1.484,1.2733,1.3912,3543688.7399999998,4887411.861017
2020-11-05,1.3895,1.9482,1.3,1.9,5445039.46,8842248.098988
2020-11-07,1.9069,2.4975,1.8276,2.1558,13662956.55,29038959.006586
2020-11-09,2.1515,2.3257,1.9456,2.2661,5169866.88,10944968.623148
2020-11-11,2.2665,2.3,1.825,1.9089,3385997.08,6936626.30716
2020-11-13,1.9089,2.0808,1.869,1.9182,2787531.5,5499772.142739
2020-11-15,1.9204,2.37,1.9133,2.2626,6540216.050000001,14171451.237902999
2020-11-17,2.2665,2.33,2.0001,2.1153,4365500.01,9460317.984646
2020-11-19,2.1122,2.2387,2.0136,2.1033,2981276.46,6342674.269245
2020-11-21,2.0999,2.51,2.0351,2.1514,5411616.75,12177047.82121
2020-11-23,2.161,2.4731,2.112,2.2823,5628952.8,12827813.581328
2020-11-25,2.2795,2.49,1.7212,1.9111,10400956.33,21515772.689157
2020-11-27,1.9117,2.04,1.7694,1.8868,3183632.09,5988045.447768
2020-11-29,1.8858,2.0182,1.85,1.9665,1957331.65,3794009.0942400005
2020-12-01,1.9641,2.2098,1.9168,2.1209,4306660.12,8887487.278756998
2020-12-03,2.119,2.2279,1.836,1.8535,4607305.72,9710606.855881
2020-12-05,1.8507,1.9907,1.7956,1.8505,2213734.77,4168119.67928
2020-12-07,1.8515,1.899,1.6211,1.6631,3259409.29,5735225.401447
2020-12-09,1.66,1.6777,1.5,1.5683,3154925.21,5047288.173334001
2020-12-11,1.5739,1.5774,1.4328,1.4912,2852721.48,4257520.477548
2020-12-13,1.4909,1.7,1.4578,1.5946,3253105.87,5115388.060024
2020-12-15,1.594,1.8039,1.5875,1.7829,6660180.18,11381437.68849
2020-12-17,1.78,1.8064,1.6307,1.7014,3655284.9000000004,6243047.206575
2020-12-19,1.6987,1.7677,1.521,1.5635,2700385.55,4490072.945925999
2020-12-21,1.5605,1.62,1.47,1.49,3301437.25,5064919.687876999
2020-12-23,1.49,1.5126,1.0301,1.3612,6136522.970000001,7956295.793988001
2020-12-25,1.3641,1.4599,1.3118,1.3258,2303525.2199999997,3210143.873111
2020-12-27,1.324,1.5223,1.2616,1.5172,4329519.02,5945292.340104
2020-12-29,1.5187,1.735,1.4388,1.535,7041400.890000001,11178193.259137
2020-12-31,1.5337,1.86,1.42,1.8421,6591618.800000001,10699344.856461
2021-01-02,1.8421,2.38,1.7116,2.1779,13572160.75,27040653.80956
